business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
iLocal SEO,Local SEO Agencies,Internet marketing service,"Internet marketing service, Consultant, Service establishment, Marketing agency, Marketing consultant, Website designer",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,https://ilocalseo.com/?utm_source=gmb&utm_medium=gmb_description&utm_campaign=ilocal_seo_gmb&utm_id=gmb_listing,4.9,,"iLocal SEO, 415527, India",415527,26.674993999999998,-80.4301795,ChIJW0EXlcS22YgRMi4sDAvQ6D0,https://www.google.com/maps/place/?q=place_id:ChIJW0EXlcS22YgRMi4sDAvQ6D0,part_131,2026-09-22 06:33:29,4607
Seo specialist,Local SEO Agencies,Marketing consultant,"Marketing consultant, Service establishment",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",0303 8950430,N/A,5.0,,"Seo specialist, 415527, India",415527,30.9658895,70.9501612,ChIJu7_rCbBqGY0RXg89cJVug4o,https://www.google.com/maps/place/?q=place_id:ChIJu7_rCbBqGY0RXg89cJVug4o,part_131,2026-09-22 06:33:29,4608
Webbloom Digital | Digital Marketing Agency,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 91560 45344,http://webbloomdigital.com/,5.0,,"Alandi - Moshi Rd, Dudulgaon, Pimpri-Chinchwad, Maharashtra 412105",Dudulgaon,18.6763126,73.8785833,ChIJb3ykSrcihW4RziCgS-iCDMk,https://www.google.com/maps/place/?q=place_id:ChIJb3ykSrcihW4RziCgS-iCDMk,part_131,2026-09-22 06:33:29,4609
LocalisedSEO,Local SEO Agencies,Marketing agency,"Marketing agency, Service establishment, Website designer",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,https://localisedseo.com/,4.6,,"LocalisedSEO, 415527, India",415527,34.032332,-119.13439799999999,ChIJ2xUFq4dt-qoRa37z4jTT5yw,https://www.google.com/maps/place/?q=place_id:ChIJ2xUFq4dt-qoRa37z4jTT5yw,part_131,2026-09-22 06:33:29,4610
Digital Engineers,Local SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Corporate gift supplier, Graphic designer, Internet marketing service, Marketing consultant, Photography studio, Video editing service, Website designer",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 90675 54445,http://www.digitalengineers.in/,5.0,,"Sairatna Complex , 4th floor, visawa naka, near mane hospital, Satara, Maharashtra 415001","Yashwant Colony, Powai Naka",17.6863769,74.01992059999999,ChIJF-9L7pY5wjsRvffVnYZzV5w,https://www.google.com/maps/place/?q=place_id:ChIJF-9L7pY5wjsRvffVnYZzV5w,part_131,2026-09-22 06:33:29,4611
Web Link Services Pvt. Ltd.,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Business to business service, Graphic designer, Marketing agency, Marketing consultant, Web hosting company, Website designer",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 84210 60192,http://weblinkservices.net/,4.7,285.0,"Before Pantaloons, P.K Chowk, 12th Floor, Vintage 21, above Max Showroom, Pimple Saudagar, Maharashtra 411027",Pimple Saudagar,18.5974055,73.7966273,ChIJH5KapA65wjsR2Sz8TPH_YDY,https://www.google.com/maps/place/?q=place_id:ChIJH5KapA65wjsR2Sz8TPH_YDY,part_131,2026-09-22 06:33:30,4612
SpiderOrbit Technologies,Local SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant, Website designer",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 98910 15705,http://www.spiderorbit.net/,4.9,,"2nd Floor, SBC Plaza, 15C/7, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh 201012","Sector 15, Vasundhara",28.6543852,77.3583537,ChIJ86JASCf7DDkRcSKV5mDdak4,https://www.google.com/maps/place/?q=place_id:ChIJ86JASCf7DDkRcSKV5mDdak4,part_131,2026-09-22 06:33:31,4613
Xion360,Local SEO Agencies,Marketing agency,"Marketing agency, Marketing consultant, Website designer",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 89566 19529,https://www.xion360.com/,4.7,,"Tower-3, Kohinoor World Tower, 903, near EMPIRE SQUARE, MIDC, Chinchwad, Pimpri-Chinchwad, Maharashtra 411019","MIDC, Chinchwad",18.6345307,73.799666,ChIJV7MCYqCCBEYRD4RunAUlsLw,https://www.google.com/maps/place/?q=place_id:ChIJV7MCYqCCBEYRD4RunAUlsLw,part_131,2026-09-22 06:33:31,4614
Code 2 SEO Digital Marketing and Web Solutions Pvt. Ltd.,Local SEO Agencies,Internet marketing service,"Internet marketing service, Graphic designer, Software company, Web hosting company, Website designer",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 82606 15991,https://www.code2seo.com/,5.0,,"Basudev Nagar, Plot Number 1148 / 2157, Basudevnagar, Jagannath Nagar, Rasulgarh, Bhubaneswar, Odisha 751025","Basudevnagar, Jagannath Nagar, Rasulgarh",20.2876706,85.8637849,ChIJ_3tFfDN7sq0RQQccsZ0DxNQ,https://www.google.com/maps/place/?q=place_id:ChIJ_3tFfDN7sq0RQQccsZ0DxNQ,part_131,2026-09-22 06:33:31,4615
Think digital,Local SEO Agencies,Internet marketing service,"Internet marketing service, Graphic designer, Website designer, Marketing agency",415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 84118 54268,http://www.thinkdigitalindia.in/,4.9,,"2nd Floor, Rahalkar Chambers, A4, College Rd, opp. Big Bazar, above Om Sai Ram Hot Chips, Patil Colony, Canada Corner, Nashik, Maharashtra 422005","Patil Colony, Canada Corner",20.0058074,73.7657752,ChIJ_eIxn4Ul3DsRZn9HIL5LpnY,https://www.google.com/maps/place/?q=place_id:ChIJ_eIxn4Ul3DsRZn9HIL5LpnY,part_131,2026-09-22 06:33:31,4616
