business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Adv. Bhagwan G. Patil,Advocate and Lawyer,Lawyer,Lawyer,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 91755 66513,N/A,5.0,,"Shahu Maharaj Complex, Chamber No. 40, Advocate Chambers, Chhatrapati, Shahu, Shahunagar, Jalgaon, Maharashtra 425001","Shahu, Shahunagar",21.012262099999997,75.5579647,ChIJs9T_4rsP2TsR_NyRZvYPheY,https://www.google.com/maps/place/?q=place_id:ChIJs9T_4rsP2TsR_NyRZvYPheY,part_140,2026-09-22 06:00:47
Adv Aishwarya C Mantri,Advocate and Lawyer,Legal services,Legal services,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 72628 84656,N/A,5.0,,"Ramchandra, 162/1, Adarsh Nagar, Jalgaon, Maharashtra 425002",Adarsh Nagar,20.988626,75.5611199,ChIJHcxhDLYP2TsR1pf_k7mU4F0,https://www.google.com/maps/place/?q=place_id:ChIJHcxhDLYP2TsR1pf_k7mU4F0,part_140,2026-09-22 06:00:47
"District & Sessions Court, Jalgaon",Advocate and Lawyer,District court,District court,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 257 223 6341,N/A,3.9,,"2H66+XH4, Mahatma Gandhi Rd, opposite Shivaji Maharaj Putla, The Co-operative Housieng Society, Jalgaon, Maharashtra 425001",The Co-operative Housieng Society,21.0123952,75.5614501,ChIJl3LLRbsP2TsRX7DksZwlcCI,https://www.google.com/maps/place/?q=place_id:ChIJl3LLRbsP2TsRX7DksZwlcCI,part_140,2026-09-22 06:00:47
Advocate Dillip Ku. Behera & Associates,Advocate and Lawyer,Law firm,Law firm,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 79780 48122,N/A,4.9,,"near Sub-Collector Office, LIC Colony, Nabarangpur, Odisha 764059",LIC Colony,19.224926999999997,82.5488676,ChIJe8h1wO-5OjoRx3Wy09azhQU,https://www.google.com/maps/place/?q=place_id:ChIJe8h1wO-5OjoRx3Wy09azhQU,part_140,2026-09-22 06:00:47
Advocate Shivani Gupta,Advocate and Lawyer,Legal services,"Legal services, Service establishment",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 72759 84882,https://g.co/kgs/85YXrxh,5.0,,"Advocate Shivani Gupta, 425303, India",425303,25.744688,82.68052399999999,ChIJayK-0rfRbwgR8tnZHn36qdQ,https://www.google.com/maps/place/?q=place_id:ChIJayK-0rfRbwgR8tnZHn36qdQ,part_140,2026-09-22 06:00:47
Law firm Advocate Goura,Advocate and Lawyer,Legal services,"Legal services, Service establishment",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 94377 34508,https://www.gouraadv.com/,,,"Law firm Advocate Goura, 425303, India",425303,20.0149602,84.114249,ChIJJ5x1P23IzgwRka0jD_tMrVo,https://www.google.com/maps/place/?q=place_id:ChIJJ5x1P23IzgwRka0jD_tMrVo,part_140,2026-09-22 06:00:47
Adv. K. B. Varma,Advocate and Lawyer,Lawyer,Lawyer,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,,,"2H88+545, Navi Peth, Jaikisan Wadi, Jalgaon, Maharashtra 425001","Navi Peth, Jaikisan Wadi",21.0153781,75.56534769999999,ChIJ4UE2EQAP2TsRUpVFCd8gyn0,https://www.google.com/maps/place/?q=place_id:ChIJ4UE2EQAP2TsRUpVFCd8gyn0,part_140,2026-09-22 06:00:47
Advocate Vijay Babulal Darji,Advocate and Lawyer,Criminal justice attorney,"Criminal justice attorney, Civil defense, Lawyer",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 75884 39135,N/A,5.0,69.0,"Second Floor, Golani Market, G -20, Pratap Nagar, Jalgaon, Maharashtra 425001",Pratap Nagar,21.015141399999997,75.5637423,ChIJuyvQoi8P2TsRcurznruTyo8,https://www.google.com/maps/place/?q=place_id:ChIJuyvQoi8P2TsRcurznruTyo8,part_140,2026-09-22 06:00:47
Bhokarikar Legal Services LLP,Advocate and Lawyer,Lawyer,"Lawyer, Family law attorney, Law firm",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 93266 53707,https://bhokarikarlawfirms.com/,4.6,,"16, Advocate Chambers, 2nd Floor, Shahu Complex, Shahu Nagar, Jalgaon, Maharashtra 425001",Datta Colony,21.0119434,75.557326,ChIJCdEq5LsP2TsRD3mljmsYFZ4,https://www.google.com/maps/place/?q=place_id:ChIJCdEq5LsP2TsRD3mljmsYFZ4,part_140,2026-09-22 06:00:47
Adv Navalsing Naikda,Advocate and Lawyer,Lawyer,Lawyer,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 98222 99520,http://advnavalsingnaikda.in/,5.0,,"J T chember, 10, near court, Navi Peth, chouk, Jaikisan Wadi, Jalgaon, Maharashtra 425001","Navi Peth, chouk, Jaikisan Wadi",21.0152066,75.5664077,ChIJ_z1NCRUP2TsRVq64ejiAYLQ,https://www.google.com/maps/place/?q=place_id:ChIJ_z1NCRUP2TsRVq64ejiAYLQ,part_140,2026-09-22 06:00:47
Advocate Sandeep Mohanty,Advocate and Lawyer,Legal services,"Legal services, Service establishment, Lawyers association",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 79788 36988,N/A,5.0,,"Advocate Sandeep Mohanty, 425303, India",425303,20.3935915,84.9221622,ChIJaULZNb4TGToRHuQ1U4nl17g,https://www.google.com/maps/place/?q=place_id:ChIJaULZNb4TGToRHuQ1U4nl17g,part_140,2026-09-22 06:00:48
"Amicus Law firm - Family, Property, Insurance, Civil and Criminal matters lawyer",Advocate and Lawyer,Lawyer,"Lawyer, Civil law attorney, Criminal justice attorney, Service establishment, Law firm, Legal services",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,5.0,,"Amicus Law firm - Family, Property, Insurance, Civil and Criminal matters lawyer, 425303, India",425303,21.2288386,79.1631841,ChIJl8Ugk0DB1DsRr5NnXYoDbN8,https://www.google.com/maps/place/?q=place_id:ChIJl8Ugk0DB1DsRr5NnXYoDbN8,part_140,2026-09-22 06:00:48
नारायण,Advocate and Lawyer,Housing complex,Housing complex,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,N/A,,,"Gat no 101/2, Mundada nagar, Plot no 11, Ramanand Nagar, Jalgaon, Maharashtra 425002",Ramanand Nagar,21.000311999999997,75.5458599,ChIJAVpaQgAP2TsRmFmw59eqwJk,https://www.google.com/maps/place/?q=place_id:ChIJAVpaQgAP2TsRmFmw59eqwJk,part_140,2026-09-22 06:00:48
