business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
OM SHANTI HOSTELS,Hostels,Student dormitory,"Student dormitory, Boarding house, Boys' hostel, Housing complex, Lodge, Student housing center, Student union, Youth Hostel",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96370 52480,https://omshantihostels.com/,5.0,56.0,"Haripriya Nagar, behind ICICI BANK, Sangli, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415","Sangli, Vishrambag",16.8448578,74.5976953,ChIJu_Lg8b0jwTsR1cdSsZep6Bc,https://www.google.com/maps/place/?q=place_id:ChIJu_Lg8b0jwTsR1cdSsZep6Bc,part_136,2026-09-22 06:00:43,6272
Omkareshwar Hostel,Hostels,Student dormitory,"Student dormitory, Boys' hostel, Youth Hostel",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 95528 07947,https://sites.google.com/view/omkareshwarhostel/home,4.9,128.0,"Omkareshwar Colony, Mane Nagar, Asha Nagar, Nashik, Maharashtra 422003","Mane Nagar, Asha Nagar",20.0294731,73.82974589999999,ChIJc6bUE-jr3TsR1YmqZhlP5bc,https://www.google.com/maps/place/?q=place_id:ChIJc6bUE-jr3TsR1YmqZhlP5bc,part_136,2026-09-22 06:00:43,6273
Hunggama Hostel Cafe - By SK,Hostels,Backpacker Hostel,"Backpacker Hostel, Youth Hostel",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 93736 08157,https://www.booking.com/Share-iibJUb,4.9,37.0,"Monteiro Vaddo, Anjuna, Goa 403509",Monteiro Vaddo,15.5773622,73.74087709999999,ChIJHZKILXDpvzsRECxPmxdd03w,https://www.google.com/maps/place/?q=place_id:ChIJHZKILXDpvzsRECxPmxdd03w,part_136,2026-09-22 06:00:43,6274
Bombay Backpackers,Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 84509 44066,http://www.bombaybackpackers.com/,4.0,474.0,"Uttam Jeevan, 1, Lal Bahadur Shastri Marg, opp. Equinox Business Park, off BKC, Kurla West, Kurla, Mumbai, Maharashtra 400070","Kurla West, Kurla",19.0712033,72.8751778,ChIJewB5zZLI5zsRTqJE6pMBHUM,https://www.google.com/maps/place/?q=place_id:ChIJewB5zZLI5zsRTqJE6pMBHUM,part_136,2026-09-22 06:00:43,6275
Thrifty Stays,Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 80104 47306,N/A,4.9,68.0,"15, Kadamwadi Rd, Laxminarayan Nagar, Kadamwadi, Kolhapur, Maharashtra 416003","Laxminarayan Nagar, Kadamwadi",16.7086584,74.253548,ChIJ7f5USwABwTsRJUF_gg9X0jY,https://www.google.com/maps/place/?q=place_id:ChIJ7f5USwABwTsRJUF_gg9X0jY,part_136,2026-09-22 06:00:43,6276
"The Hosteller Goa, Anjuna",Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98101 87717,https://www.thehosteller.com/hostels/the-hosteller-goa-arpora/,4.8,2230.0,"Aromia Villas, behind Salt Restaurant, Cudchar, Arpora, Goa 403516",Cudchar,15.571988699999999,73.76300069999999,ChIJ3TekmVXrvzsR_LdnWTIvW5o,https://www.google.com/maps/place/?q=place_id:ChIJ3TekmVXrvzsR_LdnWTIvW5o,part_136,2026-09-22 06:00:43,6277
"The Hosteller Bam Goa, Calangute",Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98101 87717,https://www.thehosteller.com/hostels/bam-hostels-calangute/,4.8,804.0,"House No - 2, Survey No - 165/1, Naika Vaddoo, Calangute, Goa 403516",Naika Vaddoo,15.5392849,73.76332959999999,ChIJlX0hgM_BvzsRfYm37dM6g1k,https://www.google.com/maps/place/?q=place_id:ChIJlX0hgM_BvzsRfYm37dM6g1k,part_136,2026-09-22 06:00:43,6278
Craft Hostels,Hostels,Backpacker Hostel,"Backpacker Hostel, Home Stay",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 88263 80712,N/A,4.7,846.0,"House no 771, Anjuna Flea Market, St. Michaels Waddo, Anjuna, Goa 403509",Monteiro Vaddo,15.5717684,73.7433415,ChIJwVn6otrpvzsR758y0Th1yP8,https://www.google.com/maps/place/?q=place_id:ChIJwVn6otrpvzsR758y0Th1yP8,part_136,2026-09-22 06:00:43,6279
XOXO Hostel,Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 89380 09000,https://www.xoxohostel.com/,4.2,1978.0,"Tito's white House, opp. Indian Oil Petrol Pump, Anjuna, Goa 403510",416805,15.5861562,73.7602302,ChIJV3hiVdvrvzsRdQkeEVv5B0M,https://www.google.com/maps/place/?q=place_id:ChIJV3hiVdvrvzsRdQkeEVv5B0M,part_136,2026-09-22 06:00:43,6280
Rootsvilla Vagator-Longstays and Co-working Hostel,Hostels,Backpacker Hostel,"Backpacker Hostel, Boys' hostel, Girls' hostel, Hotel, Student dormitory, Villa, Youth Hostel",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 93737 88024,N/A,4.5,690.0,"house number 1610, 01, grand chinvar road, opposite hacienda Goa resort close to petrol pump, behind rocket burger, Vagator, Anjuna, Goa 403509",Vagator,15.593236099999999,73.75250249999999,ChIJ2wzWbQHrvzsRKC7t8PzdAgw,https://www.google.com/maps/place/?q=place_id:ChIJ2wzWbQHrvzsRKC7t8PzdAgw,part_136,2026-09-22 06:00:43,6281
"Bunkd Hostel, Anjuna - Unscripted & Common Ground (Keri North Goa)",Hostels,Backpacker Hostel,"Backpacker Hostel, Outdoor activity organiser, Home Stay, Tourist attraction, Travel agency, Villa",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99871 80911,https://linktr.ee/bunkdhostels1,4.7,1152.0,"St Anthony's Prise, near St Anthony's Chapel & UV bar, Dmello Vaddo, Anjuna, Goa 403509",Dmello Vaddo,15.5803423,73.7395093,ChIJ16smU4TpvzsRCPqU58ttZRA,https://www.google.com/maps/place/?q=place_id:ChIJ16smU4TpvzsRCPqU58ttZRA,part_136,2026-09-22 06:00:43,6282
"The Hosteller Goa, Mandrem",Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98101 87717,https://www.thehosteller.com/hostels/the-hosteller-goa-mandrem/,4.7,1294.0,"The Hosteller, Querim–Arambol–Agarwada Rd, near Riva Beach Resort, Mandrem, Goa 403527",416805,15.6719733,73.7101205,ChIJGYOje0jvvzsRuBZ-TgKZGx8,https://www.google.com/maps/place/?q=place_id:ChIJGYOje0jvvzsRuBZ-TgKZGx8,part_136,2026-09-22 06:00:43,6283
Bunk N Brew,Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 90227 45604,https://www.instagram.com/bunknbrew/,4.6,686.0,"Bhikarwada, Canacona, Goa 403702",Bhikarwada,15.0106001,74.0342318,ChIJc8UkyFhbvjsRePotgqir9ac,https://www.google.com/maps/place/?q=place_id:ChIJc8UkyFhbvjsRePotgqir9ac,part_136,2026-09-22 06:00:43,6284
Half Orange,Hostels,Backpacker Hostel,"Backpacker Hostel, Bar, Coworking space, Hotel, Restaurant",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 83800 00599,https://halforange.in/,4.8,419.0,"House No. 599, Ozran Beach Road, Small Vagator, Near Leoney Resort Vagator, Anjuna, Goa, 403509",Vagator,15.596172099999999,73.7376677,ChIJNYc8EAXpvzsR3vISi2rbDJw,https://www.google.com/maps/place/?q=place_id:ChIJNYc8EAXpvzsR3vISi2rbDJw,part_136,2026-09-22 06:00:43,6285
Jungle by sturmfrei Vagator | Poolside Boutique Stays,Hostels,Backpacker Hostel,"Backpacker Hostel, Hotel",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 79 4822 1212,https://www.staysturmfrei.com/destinations/vagator,4.4,1746.0,"Chapora Road, beside IBIS Styles, Vagator, Chapora, Anjuna, Goa 403509",Vagator,15.599504999999999,73.7452814,ChIJI-mYYTfrvzsRAulde5mCU3Q,https://www.google.com/maps/place/?q=place_id:ChIJI-mYYTfrvzsRAulde5mCU3Q,part_136,2026-09-22 06:00:43,6286
Zostel Goa (Anjuna),Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 22 4893 0069,https://www.zostel.com/zostel/goa/zostel-goa-anjuna-goah706,4.4,1154.0,"175/13, near Family Mart, Soranto, Waddo, Anjuna, Goa 403509","Soranto, Waddo",15.5847267,73.7445528,ChIJ3x04-Y_pvzsRV9HALRpAyAI,https://www.google.com/maps/place/?q=place_id:ChIJ3x04-Y_pvzsRV9HALRpAyAI,part_136,2026-09-22 06:00:43,6287
The Hosteller Gokarna,Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98101 87717,https://www.thehosteller.com/hostels/the-hosteller-gokarna,4.5,2892.0,"1345/1, Kudle Beach, Gokarna, Karnataka 581326",416805,14.526843999999999,74.3185706,ChIJfQNKRHiDvjsRhHOrq0JVooI,https://www.google.com/maps/place/?q=place_id:ChIJfQNKRHiDvjsRhHOrq0JVooI,part_136,2026-09-22 06:00:43,6288
Madpackers Goa,Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 87662 66071,http://www.madpackers.com/,4.4,3202.0,"H.No.1061/1, Sim Vaddo, next to fairfield by marriott hotel, Anjuna, Baga, Goa 403509",416805,15.576338499999999,73.757728,ChIJdc9c3CTqvzsR4RHSsyW1B7M,https://www.google.com/maps/place/?q=place_id:ChIJdc9c3CTqvzsR4RHSsyW1B7M,part_136,2026-09-22 06:00:43,6289
Sunrise Boys PG,Hostels,Boys' hostel,"Boys' hostel, Youth Hostel",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98457 03028,https://jsdl.in/DT-27NF11XP4GD,5.0,49.0,"Saunshi Building, near Reliance Mart, Rajiv Nagar, 1st Stage, Akshay Colony, Hubballi, Karnataka 580021","Rajiv Nagar, 1st Stage, Akshay Colony",15.3637456,75.10951539999999,ChIJZ1CQR2DXuDsRd6m9-BGSIDQ,https://www.google.com/maps/place/?q=place_id:ChIJZ1CQR2DXuDsRd6m9-BGSIDQ,part_136,2026-09-22 06:00:43,6290
Youth Hostel Mapusa,Hostels,Backpacker Hostel,Backpacker Hostel,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 832 227 5534,N/A,3.8,265.0,"Pedem Sports Complex, Bombay Goa Road, Peddem, Karaswada, Mapusa, Goa 403507","Peddem, Karaswada",15.6043512,73.8267697,ChIJ2ffh-uLqvzsR7qwTn-U7hDI,https://www.google.com/maps/place/?q=place_id:ChIJ2ffh-uLqvzsR7qwTn-U7hDI,part_136,2026-09-22 06:00:43,6291
