business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr. DESAI...EAR NOSE THROAT CLINIC,ENT Clinic,ENT Specialist,"ENT Specialist, Hospital, Otolaryngology clinic",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 221 1220,N/A,4.8,139,"DR DESAI ENT CLINIC, Vishwas Plaza, Sangli - Miraj Rd, opposite Anand Nursing Home, Miraj, Shivaji Nagar, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Shivaji Nagar",16.832494399999998,74.6395347,ChIJhd7jSU0iwTsRCRjVW4phruk,https://www.google.com/maps/place/?q=place_id:ChIJhd7jSU0iwTsRCRjVW4phruk,part_134,2026-09-22 06:00:30
Dr Gautam Purohit - ENT Specialist in Sangli,ENT Clinic,ENT Specialist,"ENT Specialist, Cancer treatment center, Doctor, Hospital, Oncologist, Surgical oncologist",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 82081 20346,https://purohitent.in/,4.9,194,"1st Floor, Om Chambers, Panchamukhi Maruti Rd, near Ram Mandir Chowk, opp. Canera Bank, Sangli, Maharashtra 416416","Sangli, Khanbhag",16.8560511,74.5737803,ChIJxdeqgzUZwTsRXbeqH0Bj2F8,https://www.google.com/maps/place/?q=place_id:ChIJxdeqgzUZwTsRXbeqH0Bj2F8,part_134,2026-09-22 06:00:30
"Sai Samarth SuperDoctors ENT(Ear, Nose, Throat) & Superspeciality+ Dr Rahul Patil",ENT Clinic,ENT Specialist,ENT Specialist,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 88288 22922,http://www.superdoctors.co.in/,4.9,3274,"104,1st Floor, Latiff Park S.K. Stone, Mira Bhayander Link Rd, above Pizza Hut & Kotak Bank, Chandan Shanti, Mira Road East, Mira Bhayandar, Maharashtra 401107","Chandan Shanti, Mira Road East",19.2861576,72.86877319999999,ChIJ91roXw2x5zsRuMCmq8lqCa0,https://www.google.com/maps/place/?q=place_id:ChIJ91roXw2x5zsRuMCmq8lqCa0,part_134,2026-09-22 06:00:30
JAY ENT CLINIC - DR JAYJEET LOKHANDE,ENT Clinic,ENT Specialist,ENT Specialist,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 70208 08137,https://book.healthplix.com/dr-dr-jayjeeet-lokhande-ent,4.8,466,"Shop no 205,GERA PARK VIEW,ABOVE PIND PUNJAB HOTEL, NEAR EON IT PARK, ROAD, next to EMERALD CITY, in front of Pathare ground, Kharadi, Pune, Maharashtra 411014","EON Free Zone, Kharadi",18.5547747,73.953102,ChIJHQBsaRjDwjsRANennMJ6u6w,https://www.google.com/maps/place/?q=place_id:ChIJHQBsaRjDwjsRANennMJ6u6w,part_134,2026-09-22 06:00:30
Gosavi ENT Hospital,ENT Clinic,Hospital,Hospital,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 76204 93989,https://gosavihospital.com/,4.3,121,"Station Rd, Miraj, Pandharpur Wal, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Pandharpur Wal",16.8200578,74.6411531,ChIJ4UX028ojwTsR1WNZpZutp8o,https://www.google.com/maps/place/?q=place_id:ChIJ4UX028ojwTsR1WNZpZutp8o,part_134,2026-09-22 06:00:30
Dr shital Chougule ENT Clinic,ENT Clinic,Hospital,Hospital,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 70582 98317,N/A,4.7,20,"Civil Hospital Rd, Sangli, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Khanbhag",16.855159099999998,74.5738159,ChIJ_XBxGWkYwTsR74p4V1jVeaE,https://www.google.com/maps/place/?q=place_id:ChIJ_XBxGWkYwTsR74p4V1jVeaE,part_134,2026-09-22 06:00:30
Yashashri ENT Hospital,ENT Clinic,Hospital,Hospital,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 221 2149,http://www.yashashrienthosiptal.com/,4.6,334,"RJJR+5VG, Miraj, Shivaji Nagar, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Shivaji Nagar",16.8304224,74.6423095,ChIJbdrrD7MjwTsR5yT3fApAYtQ,https://www.google.com/maps/place/?q=place_id:ChIJbdrrD7MjwTsR5yT3fApAYtQ,part_134,2026-09-22 06:00:30
Kulkarni ENT Hospital,ENT Clinic,Hospital,Hospital,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,N/A,3.9,15,"VH4F+856, Sangli, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Khanbhag",16.855787,74.5728831,ChIJWWe5t_gZwTsRozG0rqT7ix8,https://www.google.com/maps/place/?q=place_id:ChIJWWe5t_gZwTsRozG0rqT7ix8,part_134,2026-09-22 06:00:30
Dr Nilakhe ENT and EYE hospital,ENT Clinic,Ophthalmology clinic,"Ophthalmology clinic, Ophthalmologist, ENT Specialist",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 237 5598,N/A,3.5,8,"above Bank of Maharashtra, Sangli, Civil Chowk, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Civil Chowk",16.8535421,74.5740172,ChIJf9RTyrUZwTsRn5pxVvTHwfk,https://www.google.com/maps/place/?q=place_id:ChIJf9RTyrUZwTsRn5pxVvTHwfk,part_134,2026-09-22 06:00:30
A Plus Clinic,ENT Clinic,ENT Specialist,"ENT Specialist, Allergist, Cosmetic surgeon, Dermatologist, Ear piercing service, Endoscopist, Hair transplantation clinic, Hearing aid store, Skin care clinic, Speech & Hearing Specialist",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 76780 30070,http://www.apluscosmetic.in/,4.7,250,"Office 18,first floor, Neelkanth Darshan Society, opposite Orion Mall, above Waman Hari Pethe Sons, Old Panvel, Panvel, Maharashtra 410206","Old Panvel, Panvel",18.993465399999998,73.1144157,ChIJL_5kBWjo5zsRxGG1Ag3XGNw,https://www.google.com/maps/place/?q=place_id:ChIJL_5kBWjo5zsRxGG1Ag3XGNw,part_134,2026-09-22 06:00:30
