business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Manoranjan Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Wedding service",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98602 79881,N/A,4.5,12.0,"Haripur Rd, Sangli, Ram Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Ram Nagar",16.8522558,74.5613458,ChIJKVqcFnoYwTsRs-4M8L4Xbpc,https://www.google.com/maps/place/?q=place_id:ChIJKVqcFnoYwTsRs-4M8L4Xbpc,part_134,2026-09-22 06:00:45
Blue Flare Events,Event Planners/Wedding Planners,Event management company,Event management company,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 89992 77500,N/A,4.8,195.0,"Plot No - 63, Pundlik Nagar Rd, Parimal Housing Society, Vishalnagar, Garkheda, Chhatrapati Sambhajinagar, Maharashtra 431009","Parimal Housing Society, Vishalnagar, Garkheda",19.8686084,75.35447789999999,ChIJicn6YAij2zsRk39x0yunX0U,https://www.google.com/maps/place/?q=place_id:ChIJicn6YAij2zsRk39x0yunX0U,part_134,2026-09-22 06:00:45
Event wala party shop,Event Planners/Wedding Planners,Event management company,"Event management company, Party store",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 70208 24098,N/A,5.0,12.0,"Eventwala party shop, rajan khot chowk, Sangli, Gaon Bhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gaon Bhag",16.856117599999997,74.5621403,ChIJ-cfxs4MZwTsRquQymqxqzWQ,https://www.google.com/maps/place/?q=place_id:ChIJ-cfxs4MZwTsRquQymqxqzWQ,part_134,2026-09-22 06:00:45
Shiv Events Wedding Decoration / Planner & Cutlery Shop,Event Planners/Wedding Planners,Event planner,Event planner,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 77750 09330,N/A,,,"Shop No 2, Shiv Events Cutlery Shop, behind S M Highschool, Kavathe Mahankal, Maharashtra 416405",416311,17.0105498,74.8578769,ChIJBwuH_4w3wTsRx2yH-hHHY94,https://www.google.com/maps/place/?q=place_id:ChIJBwuH_4w3wTsRx2yH-hHHY94,part_134,2026-09-22 06:00:45
Siddhanath event balawadi,Event Planners/Wedding Planners,Event management company,Event management company,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",N/A,https://www.instagram.com/siddhanath_events_sound?stkn=OWFtZjk0aHQ2cHhz&utm_source=qr,5.0,2.0,"vita road, Balawadi - Khanapur Rd, Kharsundi, Balawadi, Maharashtra 415307",416311,17.297886,74.71590429999999,ChIJV5qEPnFbwTsRTu4WSkCADpo,https://www.google.com/maps/place/?q=place_id:ChIJV5qEPnFbwTsRTu4WSkCADpo,part_134,2026-09-22 06:00:45
WeddingMantra Events | Best Event Management Company in Sangli | Weddings Planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Wedding service",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98903 01390,https://wa.link/lo7hvh,5.0,66.0,"Civil Hospital Road, Ram Mandir Rd, Sangli, Chowk, Khanbhag, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Chowk, Khanbhag",16.8562484,74.5738513,ChIJk2jIXbYZwTsRQwXxWY5CWNI,https://www.google.com/maps/place/?q=place_id:ChIJk2jIXbYZwTsRQwXxWY5CWNI,part_134,2026-09-22 06:00:45
RADIANT EVENT MANAGEMENT COMPANY,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, DJ service, Entertainment agency, Event planner, Event venue, Party planner, Video production service, Wedding photographer, Event management company",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98220 59339,http://www.radiantevents.co.in/,4.8,82.0,"OFFICE NO.5, BUILDING A, MULEY TAPDIYA COMPLEX, Jalna Rd, Chhatrapati Sambhajinagar, Maharashtra 431001","Kailash Nagar, Mondha",19.876324699999998,75.34198889999999,ChIJwUWlkp2i2zsRKkpq7ynjcWw,https://www.google.com/maps/place/?q=place_id:ChIJwUWlkp2i2zsRKkpq7ynjcWw,part_134,2026-09-22 06:00:45
Saloni Shah Events,Event Planners/Wedding Planners,Event management company,Event management company,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 77198 46777,https://www.facebook.com/salonishahevents/,4.8,16.0,"PRINT PLUS, High School Rd, Sangli, Patel Chowk, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Patel Chowk",16.8623939,74.5712977,ChIJ8fZdaL8ZwTsRT06psdtHXDE,https://www.google.com/maps/place/?q=place_id:ChIJ8fZdaL8ZwTsRT06psdtHXDE,part_134,2026-09-22 06:00:45
Alankrit Events And Decor,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 97659 63222,N/A,4.3,6.0,"Plot No 66/68, Old, Kupwad MIDC Rd, near Mohammadiya Masjid, Shinde Mala, Abhay Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Shinde Mala, Abhay Nagar",16.863049699999998,74.590257,ChIJ6ZjdH3UYwTsRTpG2ZsAqFjY,https://www.google.com/maps/place/?q=place_id:ChIJ6ZjdH3UYwTsRTpG2ZsAqFjY,part_134,2026-09-22 06:00:45
Spice 'n' Ice Events,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 92353 53636,https://spiceniceevents.com/,4.9,1784.0,"5th Floor, SPICE n ICE EVENTS, Unity Arcade Building, above HDFC Bank, Jule, Solapur, Maharashtra 413004",Jule,17.6374103,75.9079113,ChIJ18OFRnjaxTsRWPdzKla1hj4,https://www.google.com/maps/place/?q=place_id:ChIJ18OFRnjaxTsRWPdzKla1hj4,part_134,2026-09-22 06:00:45
