business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maruti Tempered Process Pvt Ltd.,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Glass manufacturer, Glass engraving service, Glass etching service",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 93727 31115,http://www.marutitempered.com/,4.4,34.0,"Gat.No. 921, M.No. 1443, Kaneriwadi, Maharashtra 416234",416311,16.620339899999998,74.29491519999999,ChIJP-Zbb5H-wDsRaCqNXs_9jBE,https://www.google.com/maps/place/?q=place_id:ChIJP-Zbb5H-wDsRaCqNXs_9jBE,part_134,2026-09-22 06:00:37
Poona Glass Depot,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Bathroom supply store, Glass shop, Mirror shop",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 99602 50786,http://www.poonaglassdepot.com/,4.6,179.0,"628, NC Kelkar Road, next to Ratan Theatre, opposite Faraz Khana Police, Budhwar Peth, Pune, Maharashtra 411002",Budhwar Peth,18.5169624,73.8558336,ChIJVVVVJW_AwjsR_gWm_Vx85jM,https://www.google.com/maps/place/?q=place_id:ChIJVVVVJW_AwjsR_gWm_Vx85jM,part_134,2026-09-22 06:00:37
Vakratund Glass,Glass and Mirror Merchant,Glass shop,Glass shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98349 26354,N/A,4.4,19.0,"Timber Area Rd, beside Dandekar Company, Sangli, Gokul Nagar, Sangli Miraj Kupwad, Maharashtra 416416","Sangli, Gokul Nagar",16.8623764,74.5791496,ChIJN4x7Mc0ZwTsRWsuOzcg37M0,https://www.google.com/maps/place/?q=place_id:ChIJN4x7Mc0ZwTsRWsuOzcg37M0,part_134,2026-09-22 06:00:37
Mahalaxmi Glass,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98230 71025,N/A,4.5,12.0,"570 E-Ward, Shanti-Sagar, 1st Ln, opp. Jain Mandir, Shahupuri, Kolhapur, Maharashtra 416001","E Ward, Shahupuri",16.7018775,74.23544609999999,ChIJ____P0AAwTsRq3tMBc_CvlY,https://www.google.com/maps/place/?q=place_id:ChIJ____P0AAwTsRq3tMBc_CvlY,part_134,2026-09-22 06:00:37
Kalpana Glass & Alluminium,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Aluminum window",416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98609 91675,N/A,5.0,1.0,"Mayani Rd, opp. jay multipurpose hall, Hanmant Bazar, Vita, Maharashtra 415311",Hanmant Bazar,17.278869099999998,74.53773629999999,ChIJwXErKlhmwTsR-4DqY1KfG4s,https://www.google.com/maps/place/?q=place_id:ChIJwXErKlhmwTsR-4DqY1KfG4s,part_134,2026-09-22 06:00:37
Prathmesh Glass Art Studio,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 233 237 6936,N/A,4.1,8.0,"Plot no.66, New Timber Area, Sangli, Gokul Nagar, Maharashtra 416416","Sangli, Gokul Nagar",16.862387,74.58225089999999,ChIJ00-Rl3IYwTsRL-ig5nige6E,https://www.google.com/maps/place/?q=place_id:ChIJ00-Rl3IYwTsRL-ig5nige6E,part_134,2026-09-22 06:00:37
Bagrecha Glass House,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 98900 85867,https://www.bagrechaglass.com/,4.4,27.0,"Shop No:10,11,12, Poornima Tower , Seven Loves, Chowk, Shankar Sheth Rd, Swargate, Pune, Maharashtra 411037",Swargate,18.500014,73.8667806,ChIJzStmlj3AwjsRgMSWxa2Vq1Q,https://www.google.com/maps/place/?q=place_id:ChIJzStmlj3AwjsRgMSWxa2Vq1Q,part_134,2026-09-22 06:00:37
The glass gallery,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 99677 77334,N/A,4.8,158.0,"Mani Baugh, Near, Lal Bahadur Shastri Marg, opp. Damini Estate, Deep Jyoti Society, Bhakti Mandir, Panch Pakhdi, Thane West, Thane, Maharashtra 400602","Deep Jyoti Society, Bhakti Mandir, Panch Pakhdi, Thane West",19.1910027,72.9664149,ChIJqd120R655zsRFbIcBf2QS2U,https://www.google.com/maps/place/?q=place_id:ChIJqd120R655zsRFbIcBf2QS2U,part_134,2026-09-22 06:00:37
HIMYOUG TUFF GLASS INDUSTRIES LTD,Glass and Mirror Merchant,Glass industry,Glass industry,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 89767 93234,http://www.himyougtuffglass.com/,4.7,13.0,"Plot no E5, near chakan oil mil, MIDC Kupwad, Miraj, Sangli Miraj Kupwad, Maharashtra 416436",MIDC Kupwad,16.8772627,74.6302898,ChIJ9d7jTYYjwTsRzF4jNkJigPU,https://www.google.com/maps/place/?q=place_id:ChIJ9d7jTYYjwTsRzF4jNkJigPU,part_134,2026-09-22 06:00:37
HIGHTOUCH GLASS DESIGN & DECOR,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,416311,Maharashtra Circle,Goa-Panaji Region,SANGLI DIVISION,"Savlaj S.O, Anjani B.O, Banur B.O",+91 84848 52127,N/A,,,"ABBAS CHOWKE MIRAJ, MIRAJ, Sangli Miraj Kupwad, Maharashtra 416410","Miraj, Haji Chand Colony",16.8176444,74.6488615,ChIJJ2mK7hAjwTsRjhniFdef7Po,https://www.google.com/maps/place/?q=place_id:ChIJJ2mK7hAjwTsRjhniFdef7Po,part_134,2026-09-22 06:00:37
