business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ravindra General Store,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 74987 03841,N/A,5.0,1.0,"Mahu, Mandangad, Maharashtra 415203",415714,17.9536039,73.25157879999999,ChIJfdWEixbP6TsRoaPwa1r7jI8,https://www.google.com/maps/place/?q=place_id:ChIJfdWEixbP6TsRoaPwa1r7jI8,part_132,2026-09-22 06:00:16
Devalekar General Store,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 96658 70694,N/A,4.8,4.0,"Sawant Wadi, 02, Maharashtra 415724",415714,17.4884868,73.2411504,ChIJyaZX3WLx6TsRHrDl7mbIphk,https://www.google.com/maps/place/?q=place_id:ChIJyaZX3WLx6TsRHrDl7mbIphk,part_132,2026-09-22 06:00:16
Sidharth Bhumi Kirana and General Store,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 76200 70645,N/A,4.8,9.0,"Murugwada, 3382, Mirya Rd, Zadgaon, Ratnagiri, Maharashtra 415612",Zadgaon,17.0037526,73.2862973,ChIJzQ0KfQQN6jsR6VJEuZVSu5E,https://www.google.com/maps/place/?q=place_id:ChIJzQ0KfQQN6jsR6VJEuZVSu5E,part_132,2026-09-22 06:00:16
Saqib General Stores,General Store,Store,Store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 98602 38014,https://sites.google.com/view/saqibgeneralstore/home,4.6,14.0,"Pingi Mohalla, Bhagvati Bandar Rd, Pethkilla, Ratnagiri, Maharashtra 415612",Pethkilla,16.997126599999998,73.2794755,ChIJaczi_2IN6jsRdQfVia3kbUo,https://www.google.com/maps/place/?q=place_id:ChIJaczi_2IN6jsRdQfVia3kbUo,part_132,2026-09-22 06:00:16
SANSKAR GENERAL STORE,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 98346 55138,N/A,4.5,2.0,"Fata Khed, QC9C J24 Apede, Kalambani Bk., Maharashtra 415621",415714,17.7699025,73.41931009999999,ChIJ2Ra5vGLf6TsR2qnH9qjPIS0,https://www.google.com/maps/place/?q=place_id:ChIJ2Ra5vGLf6TsR2qnH9qjPIS0,part_132,2026-09-22 06:00:16
Ganesh Krupa General Store,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 97648 59468,N/A,4.1,13.0,"96HQ+WXG, Sakhari Agar, Maharashtra 415729",415714,17.3798209,73.2399591,ChIJGcuY4QX36TsRCij2y7JfVQs,https://www.google.com/maps/place/?q=place_id:ChIJGcuY4QX36TsRCij2y7JfVQs,part_132,2026-09-22 06:00:16
Krushnai General Store,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 82752 62027,N/A,5.0,1.0,"Murud Rd, Murud, Maharashtra 415713",415714,17.7812557,73.1189862,ChIJTT4QVmzH6TsRmxa8s_RAUcg,https://www.google.com/maps/place/?q=place_id:ChIJTT4QVmzH6TsRmxa8s_RAUcg,part_132,2026-09-22 06:00:16
Shri Krupa Stores,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,5.0,2.0,"Shri Krupa Stoars, Kdyavril Ganpti, Maharashtra 415714",415714,17.8516265,73.0918657,ChIJb2NGz8nH6TsRR6LcAKBzLYU,https://www.google.com/maps/place/?q=place_id:ChIJb2NGz8nH6TsRR6LcAKBzLYU,part_132,2026-09-22 06:00:16
SHRI SAIKRUPA GENERAL STORES,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 77680 58645,N/A,4.7,,"Shop No 2, Jayasthambh Road, nearby Geeta Bhavan, Jayasthambh, Rajiwada, Ratnagiri, Maharashtra 415612","Jayasthambh, Rajiwada",16.988684199999998,73.2976833,ChIJ1-ytN0AN6jsRPGn88iE8bkA,https://www.google.com/maps/place/?q=place_id:ChIJ1-ytN0AN6jsRPGn88iE8bkA,part_132,2026-09-22 06:00:17
WE ONE MINI MART,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 72493 86780,N/A,5.0,9.0,"Baug, Kazi Mohalla, near Jama Masjid, Diwatewadi, Tithavali, Maharashtra 416702",Diwatewadi,16.6499483,73.51280249999999,ChIJFcw2iqfVwTsRxTBlQWzr2VY,https://www.google.com/maps/place/?q=place_id:ChIJFcw2iqfVwTsRxTBlQWzr2VY,part_132,2026-09-22 06:00:18
MOTLANI BROTHERS,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 94211 38087,N/A,4.6,16.0,"SHOP NO, 2631B, Dargah Road, Lanja, Maharashtra 416701",415714,16.8628121,73.5496584,ChIJdwrnjAPZwTsR5CByq-UbATc,https://www.google.com/maps/place/?q=place_id:ChIJdwrnjAPZwTsR5CByq-UbATc,part_132,2026-09-22 06:00:18
Kokan Kirana And General Stores,General Store,Grocery store,Grocery store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 97668 83103,N/A,3.8,17.0,"P99V+HH6, Mukadam Complex, Teen Batti, Naka, Maharashtra 415709","Teen Batti, Naka",17.718916699999998,73.3938883,ChIJo7WlBRje6TsRVTTNFeTijqo,https://www.google.com/maps/place/?q=place_id:ChIJo7WlBRje6TsRVTTNFeTijqo,part_132,2026-09-22 06:00:18
CHETNA STORES,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 98602 07646,N/A,3.8,149.0,"Khed - Dapoli Road, Bazar Peth, Khed, Maharashtra 415709",415714,17.717802799999998,73.3939142,ChIJjYkFcxje6TsRvGsGA0qciQI,https://www.google.com/maps/place/?q=place_id:ChIJjYkFcxje6TsRvGsGA0qciQI,part_132,2026-09-22 06:00:18
Netake Traders,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 82754 34989,N/A,5.0,2.0,"Rikshaw Stand, Near, Ratnagiri Road, Abloli, Maharashtra 415726",415714,17.3401933,73.3424728,ChIJjYdz5kL56TsRPAiH-geeERY,https://www.google.com/maps/place/?q=place_id:ChIJjYdz5kL56TsRPAiH-geeERY,part_132,2026-09-22 06:00:18
MOHSIN GENERAL STORE,General Store,General store,General store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 97663 21550,N/A,5.0,3.0,"Shop No.21, Main Road, Jaigad, Maharashtra 415614",415714,17.2945597,73.2216739,ChIJn76gAfId6jsRvEtehXSwJ0Q,https://www.google.com/maps/place/?q=place_id:ChIJn76gAfId6jsRvEtehXSwJ0Q,part_132,2026-09-22 06:00:18
Siddheshwar Traders,General Store,Store,Store,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,4.3,30.0,"CG4W+Q86, Sawarde, Maharashtra 415606",415714,17.4069005,73.54577189999999,ChIJuy7Xw3ABwjsRcL4NQqcpyn8,https://www.google.com/maps/place/?q=place_id:ChIJuy7Xw3ABwjsRcL4NQqcpyn8,part_132,2026-09-22 06:00:18
Samartha Traders,General Store,Indian grocery store,"Indian grocery store, Grocery store",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 99753 27544,N/A,4.3,3.0,"Ganesh naka, Devrukh, Maharashtra 415804",415714,17.061801,73.6237628,ChIJq_z2fOLnwTsRDfFMCKDiTJI,https://www.google.com/maps/place/?q=place_id:ChIJq_z2fOLnwTsRDfFMCKDiTJI,part_132,2026-09-22 06:00:18
