business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Narvekar's Sateri Enterprises Asian Paint,Paint and Putty Dealer,Paint store,"Paint store, Store",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 94233 02981,https://saterienterpriseskudal.blogspot.com/,4.8,6.0,"Gala no 1, near gurukrupa saudatti hospital , jijamata chowk Main road, Kudal, Maharashtra 416520",Rawoolwadi,16.0094997,73.68722489999999,ChIJOesG5HcPwDsR-EKxblGonWw,https://www.google.com/maps/place/?q=place_id:ChIJOesG5HcPwDsR-EKxblGonWw,part_135,2026-09-22 06:00:25
Asian Paints Colour Cube - Sateri Trading Company,Paint and Putty Dealer,Painter,"Painter, Construction Material Wholesaler, Hardware store, Interior Decorator, Paint store, Paintings store, Stucco contractor, Wallpaper installer, Wallpaper store, Waterproofing service",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 80 4595 0029,https://colourcube-dealers-nearme.asianpaints.com/asian-paints-colour-cube-sateri-trading-company-paint-shop-kudal-sindhudurg-529787/Home?utm_source=locator&utm_medium=googleplaces,5.0,8.0,"Ground Floor, Main Road, opposite Pandit Hospital, MIDC Area, Kudal, Maharashtra 416521",MIDC Area,16.003154,73.668554,ChIJVa7Ti34PwDsRMKtFbvgtNq4,https://www.google.com/maps/place/?q=place_id:ChIJVa7Ti34PwDsRMKtFbvgtNq4,part_135,2026-09-22 06:00:25
Prashant Enterprises:-Paint & Hardware Shop,Paint and Putty Dealer,Paint store,"Paint store, Service establishment, Hardware store",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,N/A,4.9,19.0,"Prashant Enterprises:-Paint & Hardware Shop, 416521, India",416521,16.3242235,73.7006976,ChIJ4Q12p187wDsRBqfO2g-Jy5o,https://www.google.com/maps/place/?q=place_id:ChIJ4Q12p187wDsRBqfO2g-Jy5o,part_135,2026-09-22 06:00:25
Kalika steel and cement,Paint and Putty Dealer,Construction Material Wholesaler,Construction Material Wholesaler,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,N/A,,,"GALA NO 1 TO 5, Samarth Krupa building, Sindhu Durg, Oras Bk., Maharashtra 416812",Sindhu Durg,16.1197679,73.7042748,ChIJPVFNgbsRwDsRay9WzW7ASXU,https://www.google.com/maps/place/?q=place_id:ChIJPVFNgbsRwDsRay9WzW7ASXU,part_135,2026-09-22 06:00:25
Pragati Hardware,Paint and Putty Dealer,Building materials store,"Building materials store, Hardware store",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 70575 99966,N/A,4.4,5.0,"B.K.G Road, Chintamani Park, Kankavli, opp. Gango Mandir, Kankavli, Maharashtra 416602",Kankavli,16.2697795,73.7083712,ChIJOcX6YYc9wDsRAAAAMKWtv04,https://www.google.com/maps/place/?q=place_id:ChIJOcX6YYc9wDsRAAAAMKWtv04,part_135,2026-09-22 06:00:25
Sai Agency Paint House,Paint and Putty Dealer,Paintings store,Paintings store,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,N/A,5.0,1.0,"Maharashtra, Saneguruji Vasahat, Kolhapur, Maharashtra 416001","Saneguruji Vasahat, Shivganga Colony",16.67552,74.2050391,ChIJv9Bdlx-rwTsRSFAV8GumSd4,https://www.google.com/maps/place/?q=place_id:ChIJv9Bdlx-rwTsRSFAV8GumSd4,part_135,2026-09-22 06:00:26
Softtouch wall putty and paints (Arihant Minerals & Logistics),Paint and Putty Dealer,Paint Manufacturer,"Paint Manufacturer, Construction Material Wholesaler, Manufacturer",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 91122 49955,http://www.softtouchpaints.com/,4.9,115.0,"206, Honey Indra tower, Inox Road,Shashtri nagar square, Nagpur, Maharashtra 440008",Shashtri Nagar,21.1445768,79.1293725,ChIJJ5mO37bA1DsRdSQSUVv-VUc,https://www.google.com/maps/place/?q=place_id:ChIJJ5mO37bA1DsRdSQSUVv-VUc,part_135,2026-09-22 06:00:26
Asian Paints Colourideas - Ruprang Traders,Paint and Putty Dealer,Paint store,Paint store,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 8071 499 874,https://colourideas-dealers-nearme.asianpaints.com/asian-paints-colourideas-ruprang-traders-paint-shop-chinchwad-pune-374297/Home?utm_source=locator&utm_medium=googleplaces,4.8,1133.0,"Shop No 34/36, Shewale Complex, Elpro Road, next to Oyo Kamini Hotel, Vijay Nagar, Chinchwad, Pune, Pimpri-Chinchwad, Maharashtra 411033","Vijay Nagar, Chinchwad",18.6327575,73.78450839999999,ChIJq-fGENK5wjsRrSeT1M9MwG0,https://www.google.com/maps/place/?q=place_id:ChIJq-fGENK5wjsRrSeT1M9MwG0,part_135,2026-09-22 06:00:26
Rajyog Paints,Paint and Putty Dealer,Paint Manufacturer,Paint Manufacturer,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 99602 99299,http://rajyogpaints.com/,4.9,1197.0,"Gat No 725, Mastani Talav Road, Wadakinala, Wadaki, Maharashtra 412308",Wadakinala,18.428460299999998,73.9905493,ChIJpQM-fB7pwjsROlZRlmL7A1A,https://www.google.com/maps/place/?q=place_id:ChIJpQM-fB7pwjsROlZRlmL7A1A,part_135,2026-09-22 06:00:26
"Maharashtra Paints Industry - Industrial Paint Manufacturers In Pune,Primer/Epoxy Thinner Manufacturers In Baramati",Paint and Putty Dealer,Paint store,"Paint store, Paint Manufacturer",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 99609 84338,https://www.maharashtrapaints.com/,5.0,16.0,"Gat No.258, opposite National weight bridge, Jyotiba Nagar, Talwade, Pune, Pimpri-Chinchwad, Maharashtra 411062","Jyotiba Nagar, Talwade",18.690383699999998,73.78920819999999,ChIJ_0QfenO3wjsR7trOuWAbDfw,https://www.google.com/maps/place/?q=place_id:ChIJ_0QfenO3wjsR7trOuWAbDfw,part_135,2026-09-22 06:00:26
