business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Best Hair Transplant and Cosmetic Center,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Tattoo removal service",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 95031 61333,https://besthairtransplantandcosmeticcenter.com/,4.8,590,"First floor, House, 32, Railway Station Rd, opposite Keys Hotel, Friends Colony East, Konkanwadi, Chhatrapati Sambhajinagar, Maharashtra 431001","Friends Colony East, Konkanwadi",19.8680611,75.3203315,ChIJAYRFYZSZ2zsRNU4A3IyW1es,https://www.google.com/maps/place/?q=place_id:ChIJAYRFYZSZ2zsRNU4A3IyW1es,part_135,2026-09-22 06:00:29
Follicle by La Densitae Hair Transplant Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Dermatologist, Hair removal service",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 90280 31500,https://follicleindia.com/hair-transplant-clinic-aurangabad.html,4.9,412,"3rd Floor, Sudha Gauri Arcade, Jalna Rd, Rokadiya Hanuman Colony, Rokda Hanuman Colony, Mondha, Chhatrapati Sambhajinagar, Maharashtra 431001","Rokadiya Hanuman Colony, Rokda Hanuman Colony, Mondha",19.875695399999998,75.3357747,ChIJGTuZfJej2zsReQT02SD-d2s,https://www.google.com/maps/place/?q=place_id:ChIJGTuZfJej2zsReQT02SD-d2s,part_135,2026-09-22 06:00:29
Dr. Chandrashekhar skin and hair transplant clinic,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 98678 11123,https://cshairtransplant.com/,4.9,200,"Kanakia, 215 Atrium, 814-B, Andheri - Kurla Rd, opposite Divine child high school, Chakala, Andheri East, Mumbai, Maharashtra 400093","Chakala, Andheri East",19.114057199999998,72.8653835,ChIJoyEZ-D-35zsRJGGetc3eGg0,https://www.google.com/maps/place/?q=place_id:ChIJoyEZ-D-35zsRJGGetc3eGg0,part_135,2026-09-22 06:00:29
Hairfree and Hairgrow Hair Transplant Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Cosmetic surgeon, Dermatologist, Doctor",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 96079 40298,https://hairfreehairgrow.com/hair-transplant-in-pune/,4.9,2402,"4th floor, Kate Square Building, 402, Chowk, opposite Nilu Phule Natyagruh, near Kate Puram, Phase 2, Kate Puram, Pimple Gurav, Pimpri-Chinchwad, Maharashtra 411061","Phase 2, Kate Puram, Pimple Gurav",18.5846321,73.8162753,ChIJORbyaG65wjsRZZEXmDmGu9I,https://www.google.com/maps/place/?q=place_id:ChIJORbyaG65wjsRZZEXmDmGu9I,part_135,2026-09-22 06:00:29
Smart Look Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Doctor, Hair replacement service, Medical clinic, Surgeon",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 96892 33369,https://www.smartlookclinic.com/,4.9,333,"101, 1st Floor, 101, 1st Floor, College Rd, near Big Bazar, Ramdas Colony, Nashik, Maharashtra 422005",Ramdas Colony,20.005486899999998,73.7652758,ChIJw5P4VhHr3TsRQstowm7MR4Q,https://www.google.com/maps/place/?q=place_id:ChIJw5P4VhHr3TsRQstowm7MR4Q,part_135,2026-09-22 06:00:29
Authentic Hair Transplant and Cosmetic Centre,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Cosmetic surgeon, Laser hair removal service, Plastic surgeon",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 75173 95761,https://www.punecosmeticsurgery.com/,4.9,479,"Flat No. 3, Shree ram Palace, Baner Rd, near The Orchid School, above vishweshwar Bank, Baner Gaon, Baner, Pune, Maharashtra 411045","Baner Gaon, Baner",18.5640984,73.7802293,ChIJ9R0U082-wjsRk1mA0B5xmpQ,https://www.google.com/maps/place/?q=place_id:ChIJ9R0U082-wjsRk1mA0B5xmpQ,part_135,2026-09-22 06:00:29
Hair Derma Hair Transplant & Skin Laser Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Dermatologist, Skin care clinic",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 90216 80641,http://hairderma.in/,4.9,634,"Unit 601, 6 th floor, Shivam Regency, Baner Rd, above Jyoti Appliances, Baner Gaon, Baner, Pune, Maharashtra 411069","Baner Gaon, Baner",18.5607681,73.7884157,ChIJ_V8M4Ym_wjsRNPP5tRFye5o,https://www.google.com/maps/place/?q=place_id:ChIJ_V8M4Ym_wjsRNPP5tRFye5o,part_135,2026-09-22 06:00:29
Asia Institute of Hair Transplant,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Skin care clinic, Laser hair removal service",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 72763 71007,https://www.skinhairsurgery.com/,4.9,503,"1st Floor, Nandan Pride, Karve Rd, left to Karve Putala, Mayur Colony, Kothrud, Pune, Maharashtra 411038","Mayur Colony, Kothrud",18.5025326,73.81555019999999,ChIJHQAAALS_wjsRyyADt-p6XKI,https://www.google.com/maps/place/?q=place_id:ChIJHQAAALS_wjsRyyADt-p6XKI,part_135,2026-09-22 06:00:29
Viva Aesthetic Clinic - Skin Specialist | Laser Hair Removal | Best Dermatologist | PRP | Hair Transplant in Mumbai,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Doctor, Foot care, Hair replacement service, Dermatologist, Laser hair removal service, Podiatrist, Skin care clinic, Surgical center",416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",+91 93245 89084,https://vivaaestheticclinic.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,4.8,374,"25A, 27B, 27C Ground Floor, Panchratna Building, next to Roxy Theatre, Charni Road East, Opera House, Girgaon, Mumbai, Maharashtra 400004","Charni Road East, Opera House, Girgaon",18.9557127,72.8162423,ChIJy5GHKBDO5zsRS3soS4cjG4g,https://www.google.com/maps/place/?q=place_id:ChIJy5GHKBDO5zsRS3soS4cjG4g,part_135,2026-09-22 06:00:29
SMART HAIR TRANSPLANT & COSMETIC CLINIC,Hair Transplant Clinic,Hospital,Hospital,416521,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Kadaval S.O, Avalegaon B.O, Bhadgaon Budruk B.O",N/A,http://smarthairtransplant.in/,5.0,6,"Khanapur Fata, Parbhani, Maharashtra 431401",Khanapur Fata,19.2528014,76.8013775,ChIJb930IO0Z0DsRCiisFh65Dkg,https://www.google.com/maps/place/?q=place_id:ChIJb930IO0Z0DsRCiisFh65Dkg,part_135,2026-09-22 06:00:29
