business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Tathastu's 'Soundaryam' Hair, Skin, Laser, Aesthetics Clinic",Clinics,Health consultant,Health consultant,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 95525 15691,N/A,5.0,,"Diwani Foujdari Court, near, Pusegaon Road, Vaduj, Maharashtra 415506",415527,17.599463399999998,74.4482938,ChIJ7adqb_nbwzsRtTl2AQqCVD4,https://www.google.com/maps/place/?q=place_id:ChIJ7adqb_nbwzsRtTl2AQqCVD4,part_131,2026-09-22 06:33:07
Mamta Clinic,Clinics,Doctor,Doctor,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,,"Mamta Clinic, Kazi Galli, Khatav, Maharashtra 415505",415527,17.6543804,74.36070269999999,ChIJARshEv_PwzsRP9FTj6dxPRU,https://www.google.com/maps/place/?q=place_id:ChIJARshEv_PwzsRP9FTj6dxPRU,part_131,2026-09-22 06:33:07
हाड वैद्य दवाखाना,Clinics,Orthopedic clinic,Orthopedic clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,,"st स्टँड, बर्गे प्रॉपर्टी, वडुज, जवळ, Maharashtra 415506",415527,17.5946566,74.4502914,ChIJ1_cbrZXbwzsR1cEsmvnnQRI,https://www.google.com/maps/place/?q=place_id:ChIJ1_cbrZXbwzsR1cEsmvnnQRI,part_131,2026-09-22 06:33:07
Samarth Clinic,Clinics,Hospital,Hospital,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,,,"M937+H3V, Khatav, Maharashtra 415505",415527,17.6539909,74.3626793,ChIJXZm_IgDPwzsR8baOZPGw_gQ,https://www.google.com/maps/place/?q=place_id:ChIJXZm_IgDPwzsR8baOZPGw_gQ,part_131,2026-09-22 06:33:07
Santosh Clinic,Clinics,Doctor,Doctor,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 99756 86660,N/A,5.0,,"near Post Office, Bhosare, Kuroli, Maharashtra 415527",415527,17.5983952,74.394919,ChIJ311cZV3RwzsRAYYxW3koncM,https://www.google.com/maps/place/?q=place_id:ChIJ311cZV3RwzsRAYYxW3koncM,part_131,2026-09-22 06:33:07
Vrundavan Clinic,Clinics,Doctor,Doctor,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 88056 52014,N/A,,,"1, Kuroli, Vaduj, Maharashtra 415527",415527,17.597400399999998,74.391173,ChIJvxVinPjRwzsRsCDFjZsPpyw,https://www.google.com/maps/place/?q=place_id:ChIJvxVinPjRwzsRsCDFjZsPpyw,part_131,2026-09-22 06:33:07
DR SUSHAMA GHARGE CLINIC,Clinics,Skin care clinic,Skin care clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 2162 226 262,N/A,4.4,,"First Floor, Balaji Prestige Appartment, opposite Sayali Restaurent, Raviwar Peth, Satara, Maharashtra 415001",Raviwar Peth,17.6866433,74.0041195,ChIJLy0A85Q5wjsR0fzmT9_szLE,https://www.google.com/maps/place/?q=place_id:ChIJLy0A85Q5wjsR0fzmT9_szLE,part_131,2026-09-22 06:33:07
Sandip Clinic Piles Care Center Dr.Biswas,Clinics,Hospital,Hospital,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 89705 86889,N/A,4.2,,"Wakeshwar road , Back Of Vaduj Bus Stand,Atp-vaduj ; Tal, Dist, khatav, Vaduj, Maharashtra 415506",415527,17.5950343,74.44980319999999,ChIJC5U12sLbwzsR_eHhO-WF4Ug,https://www.google.com/maps/place/?q=place_id:ChIJC5U12sLbwzsR_eHhO-WF4Ug,part_131,2026-09-22 06:33:07
Shree Seva Hospital,Clinics,Doctor,Doctor,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 78208 84215,https://book-appointment.healthplix.com/index.php?branch_code=dr-sandeep-nikam-general-surgeon-godoli-satara,4.8,,"Ajinkyatara Fort Rd, Kamathipura, Radhika Nagar, Godoli, Satara, Maharashtra 415001","Kamathipura, Radhika Nagar, Godoli",17.6818545,74.0126338,ChIJ349TGk45wjsRX95hBvPzN0U,https://www.google.com/maps/place/?q=place_id:ChIJ349TGk45wjsRX95hBvPzN0U,part_131,2026-09-22 06:33:07
Dr. Shelar Polyclinic,Clinics,Hospital,Hospital,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 74991 88426,N/A,4.8,,"19/1/1, opp. Hotel Radhika Palace, Pantacha Got, Karanje Turf Satara, Satara, Maharashtra 415001","Pantacha Got, Karanje Turf Satara",17.6897219,74.00063999999999,ChIJLe-7O8Y5wjsROz2Z8G4cB9Y,https://www.google.com/maps/place/?q=place_id:ChIJLe-7O8Y5wjsROz2Z8G4cB9Y,part_131,2026-09-22 06:33:07
Aastha Homoeopathic Clinic,Clinics,Doctor,Doctor,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 75176 93777,N/A,,,"behind yashodeep Hotel, Karamveer Nagar, Bhagyoday Nagar, Vaduj, Maharashtra 415506","Karamveer Nagar, Bhagyoday Nagar",17.598993999999998,74.4500733,ChIJGQGOCP3bwzsRgwR-YM2LplQ,https://www.google.com/maps/place/?q=place_id:ChIJGQGOCP3bwzsRgwR-YM2LplQ,part_131,2026-09-22 06:33:07
KRUSHNAI CLINIC,Clinics,Medical clinic,Medical clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 83908 49267,N/A,5.0,,"Plot No 5 Mahadik Colony Karandwadi, Degaon Rd, Kondvali, Maharashtra 415004",415527,17.6593678,74.0301959,ChIJF050KuUxwjsRdhNKHcnOnUA,https://www.google.com/maps/place/?q=place_id:ChIJF050KuUxwjsRdhNKHcnOnUA,part_131,2026-09-22 06:33:07
Balaji Clinic Gursale Dr Virkar,Clinics,Hospital,Hospital,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",N/A,N/A,5.0,,"GCFR+H49, Gursale Gopuj Rd, Gursale, Maharashtra 415506",415527,17.5239096,74.4403506,ChIJm8VICZvbwzsRskc-DdcMnos,https://www.google.com/maps/place/?q=place_id:ChIJm8VICZvbwzsRskc-DdcMnos,part_131,2026-09-22 06:33:07
Dnyanesh Dental Clinic and Implant Center,Clinics,Dental clinic,Dental clinic,415527,Maharashtra circle,Pune Region,Satara Division,"Ambheri B.O, Bhosare B.O, Kokrale B.O",+91 81494 47263,N/A,4.7,,"Vaduj - Pedgaon Rd, near Navjeevan hospital, Karamveer Nagar, Vaduj, Maharashtra 415506",Karamveer Nagar,17.5981058,74.4525379,ChIJW4fovt7bwzsR_z7PqlRazTg,https://www.google.com/maps/place/?q=place_id:ChIJW4fovt7bwzsR_z7PqlRazTg,part_131,2026-09-22 06:33:07
