business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Godhadiwala Electricals Stores,Electrical Goods and Lighting Store,Electrical products wholesaler,"Electrical products wholesaler, Electrical supply store",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 98814 15399,N/A,4.7,,"PK Plaza, Polan Peth, Chitra Chowk, Jalgaon, Maharashtra 425001","Polan Peth, Chitra Chowk",21.012980499999998,75.5680783,ChIJPU5bG6QP2TsRmUr-eVGyvfs,https://www.google.com/maps/place/?q=place_id:ChIJPU5bG6QP2TsRmUr-eVGyvfs,part_140,2026-09-22 06:00:33,1986
Krishna Electric Stores,Electrical Goods and Lighting Store,Electrical products wholesaler,"Electrical products wholesaler, Electrical supply store",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 98226 37771,http://www.krishnaelectric.com/,3.9,,"Chitra Chowk, JMP Market, Ganesh Colony-Civil Ct Rd, opposite Old Bus Stand, Polan Peth, Shahunagar, Jalgaon, Maharashtra 425001","Polan Peth, Shahunagar",21.013199999999998,75.568,ChIJyzCYGqQP2TsRWHKR8y2zcyw,https://www.google.com/maps/place/?q=place_id:ChIJyzCYGqQP2TsRWHKR8y2zcyw,part_140,2026-09-22 06:00:33,1987
Bhatia Electric,Electrical Goods and Lighting Store,Electrical supply store,"Electrical supply store, Electrical equipment supplier",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 257 222 5060,N/A,3.8,,"54, Polanpet, Subhash Chowk Rd, inside Bhatia Market, Polan Peth, Shahunagar, Jalgaon, Maharashtra 425001","Polan Peth, Shahunagar",21.0132016,75.5694087,ChIJ6aFIuqYP2TsRS1YORQZsCBY,https://www.google.com/maps/place/?q=place_id:ChIJ6aFIuqYP2TsRS1YORQZsCBY,part_140,2026-09-22 06:00:33,1988
Sarvadhnya electric & electronic,Electrical Goods and Lighting Store,Store,Store,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",N/A,https://www.instagram.com/__aakya_x143__?igsh=MTk1MXgyNWZ1MmZ1Yw==,5.0,,"Vrundavan apartment, near vaishanavi park, Ahuja nagar, nimkhedi shivar, Khote Nagar, Jalgaon, Maharashtra 425002","Ahuja nagar, nimkhedi shivar, Khote Nagar",21.019031899999998,75.52054,ChIJLRDR-2cP2TsRrhoU9dfk7IE,https://www.google.com/maps/place/?q=place_id:ChIJLRDR-2cP2TsRrhoU9dfk7IE,part_140,2026-09-22 06:00:33,1989
Khandesh Electricals,Electrical Goods and Lighting Store,Electric utility company,Electric utility company,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 88886 01510,http://www.khandeshelectricals.com/,4.6,,"Shop No 2, aaditya chember, near ashwini hospital, housing society, Shahunagar, Jalgaon, Maharashtra 425001","housing society, Shahunagar",21.0130838,75.5587462,ChIJZxk1kLEP2TsRjGTu6gQHJeU,https://www.google.com/maps/place/?q=place_id:ChIJZxk1kLEP2TsRjGTu6gQHJeU,part_140,2026-09-22 06:00:33,1990
Khatri Electricals & Works,Electrical Goods and Lighting Store,Electrical equipment supplier,Electrical equipment supplier,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 95957 10500,N/A,4.9,,"179, Old B J Market, Jaikisan Wadi, Jalgaon, Maharashtra 425001","Old B J Market, Jaikisan Wadi",21.0108242,75.5671547,ChIJd_qVy6UP2TsRnLaKXuRcb8g,https://www.google.com/maps/place/?q=place_id:ChIJd_qVy6UP2TsRnLaKXuRcb8g,part_140,2026-09-22 06:00:33,1991
Shriram Electronics,Electrical Goods and Lighting Store,Television repair service,"Television repair service, Electronic parts supplier, Electronics Accessories Wholesaler, Electronics manufacturer, Electronics repair shop, Electronics store, Electronics wholesaler, Repair service, Water Filter Supplier, Water purification company",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 83809 03942,N/A,4.6,,"Samrat electronics basement, Mansingh Market, Station Rd, nr. Baba electronics, Navi Peth, Jaikisan Wadi, Jalgaon, Maharashtra 425001","Navi Peth, Jaikisan Wadi",21.0173256,75.5644729,ChIJW8XxK_0P2TsRHqf8y7U_Jhs,https://www.google.com/maps/place/?q=place_id:ChIJW8XxK_0P2TsRHqf8y7U_Jhs,part_140,2026-09-22 06:00:33,1992
Bhatia Light House,Electrical Goods and Lighting Store,Electrical supply store,Electrical supply store,425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 257 223 6070,N/A,4.3,,"4, Manish Plaza, 29, behind Old Travels bus stand, Polan Peth, Shahunagar, Jalgaon, Maharashtra 425001","Polan Peth, Shahunagar",21.0135132,75.5681757,ChIJ2fnoA6QP2TsRBJWKyP5w8_8,https://www.google.com/maps/place/?q=place_id:ChIJ2fnoA6QP2TsRBJWKyP5w8_8,part_140,2026-09-22 06:00:33,1993
TARA ELECTRONICS,Electrical Goods and Lighting Store,Electronics store,"Electronics store, Electronics manufacturer, Electronics wholesaler",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 257 223 7799,N/A,4.4,,"SHOP NO.5,FRONT OF V.V.LIBRARY,STATION ROAD,BHIMSING MARKET, Maharashtra 425001","Navi Peth, Jaikisan Wadi",21.017346999999997,75.5645251,ChIJP-I376IP2TsRABuR9Vw7HoY,https://www.google.com/maps/place/?q=place_id:ChIJP-I376IP2TsRABuR9Vw7HoY,part_140,2026-09-22 06:00:33,1994
Shivam Enterprises and Electricals,Electrical Goods and Lighting Store,Electronics Company,"Electronics Company, Cell phone store, Electrical appliance wholesaler, Electrical supply store, Electrical products wholesaler, Electronics Accessories Wholesaler, Electronics wholesaler, Refrigerator store, Security system supplier, Cooler Supplier",425303,Maharashtra circle,Aurangabad Region,Bhusaval Division,"Bidgaon B.O, Devgaon B.O, Adavad S.O",+91 94222 77737,N/A,4.0,,"PK Plaza, 12, Chitra Chouk, behind old busstant, Polan Peth, Shahunagar, Jalgaon, Maharashtra 425001","Polan Peth, Shahunagar",21.013265,75.568016,ChIJl24lTWkP2TsRbNA588EqTKs,https://www.google.com/maps/place/?q=place_id:ChIJl24lTWkP2TsRbNA588EqTKs,part_140,2026-09-22 06:00:33,1995
