business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Vishnukrupa Hall,Banquet Hall,Banquet hall,"Banquet hall, Caterer, Wedding service, Wedding venue",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 20 2445 7202,https://vishnukrupa.in/,4.4,,"259, T Saheb KK Marg, Near Omkareshwar Mandir, Shaniwar Peth, Pune, Maharashtra 411030",Shaniwar Peth,18.5191412,73.849896,ChIJe6uTQnrAwjsR0vLgZLmGho4,https://www.google.com/maps/place/?q=place_id:ChIJe6uTQnrAwjsR0vLgZLmGho4,part_132,2026-09-22 06:00:45,5702
Dattapadma Mangal karyalaya (Ghosalkar hall),Banquet Hall,Banquet hall,Banquet hall,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,5.0,,"at, post, near Bazar Mohalla, RTC Bank, Nathadwar Nagar, Harnai, Maharashtra 415713","RTC Bank, Nathadwar Nagar",17.8138921,73.09752,ChIJDajj7trH6TsRoNKgHkbh3Cs,https://www.google.com/maps/place/?q=place_id:ChIJDajj7trH6TsRoNKgHkbh3Cs,part_132,2026-09-22 06:00:45,5703
Marigold Banquets 'N' Conventions,Banquet Hall,Banquet hall,"Banquet hall, Event venue, Concert hall, Convention center, Wedding venue",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 90904 04444,http://www.marigoldbanquets.com/,4.6,,"Opp, Windmill Village Rd, Windmill Village, Bavdhan, Pune, Maharashtra 411021","Windmill Village, Bavdhan",18.507530799999998,73.7636897,ChIJrQKDxh2_wjsRdB4lRfal6F4,https://www.google.com/maps/place/?q=place_id:ChIJrQKDxh2_wjsRdB4lRfal6F4,part_132,2026-09-22 06:00:45,5704
Parikamal Banquet Hall,Banquet Hall,Banquet hall,Banquet hall,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,5.0,,"road, Kalambaste, Dhamnand, Chiplun, Maharashtra 415605",Kalambaste,17.5305879,73.547123,ChIJD2tgtDsHwjsR8suseuNN0bs,https://www.google.com/maps/place/?q=place_id:ChIJD2tgtDsHwjsR8suseuNN0bs,part_132,2026-09-22 06:00:45,5705
Siddhivinayak Hall,Banquet Hall,Wedding venue,Wedding venue,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 2352 226 423,N/A,4.2,,"Siddhivinayak Community Centre, 1st Floor, Siddhivinayak Nagar Ratnagiri Kolhapur, Highway, Nachane, Maharashtra 415639",Pushpendra Nagar,16.9917136,73.3234379,ChIJRyoy-N8M6jsRf7_tXpxngZs,https://www.google.com/maps/place/?q=place_id:ChIJRyoy-N8M6jsRf7_tXpxngZs,part_132,2026-09-22 06:00:45,5706
Ambar Hall,Banquet Hall,Banquet hall,Banquet hall,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 2352 228 211,N/A,4.1,,"Ganesh Colony Ratnagiri Kolhapur Hiway, Nachane, Maharashtra 415639",Shanti Nagar,16.995101299999998,73.3363067,ChIJTTNhb-gM6jsRDfP3qdEwfVA,https://www.google.com/maps/place/?q=place_id:ChIJTTNhb-gM6jsRDfP3qdEwfVA,part_132,2026-09-22 06:00:45,5707
SHRE SAMARTH KRUPA HALL LAWN & LODGING,Banquet Hall,Wedding venue,Wedding venue,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,4.4,,"V2HP+FCJ, Bambavade, Maharashtra 416213",415714,16.8787113,74.0360237,ChIJZU-yp5SlwTsRcT0wNVIGxzI,https://www.google.com/maps/place/?q=place_id:ChIJZU-yp5SlwTsRcT0wNVIGxzI,part_132,2026-09-22 06:00:45,5708
Ambar Hall,Banquet Hall,Banquet hall,"Banquet hall, Wedding venue",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 94223 32017,N/A,4.1,,"Plot No. - 2, Karve Rd, Mayur Colony, Kothrud, Pune, Maharashtra 411038","Mayur Colony, Kothrud",18.503333299999998,73.8191667,ChIJlUSEsuq_wjsRj8E5GolamiA,https://www.google.com/maps/place/?q=place_id:ChIJlUSEsuq_wjsRj8E5GolamiA,part_132,2026-09-22 06:00:45,5709
Radhatai Lad Sabhagruh (Vaishy Bhavan),Banquet Hall,Banquet hall,Banquet hall,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,4.1,,"GGG5+M57 Radhabai Lad Sabhagruha, Mahalaxmi Nagar, Mirjoli, Maharashtra 415605",Mahalaxmi Nagar,17.526314499999998,73.5086263,ChIJcTnUr9MHwjsR1Tr4UD4ceWk,https://www.google.com/maps/place/?q=place_id:ChIJcTnUr9MHwjsR1Tr4UD4ceWk,part_132,2026-09-22 06:00:45,5710
Patidar Bhavan Ratnagiri,Banquet Hall,Banquet hall,"Banquet hall, Event venue",415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,4.0,,"X8WP+2Q7, Shanti Nagar, Nachane, Maharashtra 415639",Shanti Nagar,16.995047,73.33692169999999,ChIJva4wdhEN6jsRcRHqb7WjA14,https://www.google.com/maps/place/?q=place_id:ChIJva4wdhEN6jsRcRHqb7WjA14,part_132,2026-09-22 06:00:45,5711
Sulochana mangal karayalay,Banquet Hall,Banquet hall,Banquet hall,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 70387 78677,N/A,3.5,,"Mandki, Maharashtra 415606",415714,17.4003823,73.5159621,ChIJaRwvHQEBwjsRCCLTINM4gw4,https://www.google.com/maps/place/?q=place_id:ChIJaRwvHQEBwjsRCCLTINM4gw4,part_132,2026-09-22 06:00:45,5712
"Nakshatra Lawns and Resorts , Kolhapur",Banquet Hall,Event venue,Event venue,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 70206 33035,N/A,4.8,,"Ring Road, Phulewadi, Kolhapur, Padali Khurd, Maharashtra 416000",Phulewadi,16.671888,74.18086439999999,ChIJI6mHSGSrwTsR9GP0LSamdaE,https://www.google.com/maps/place/?q=place_id:ChIJI6mHSGSrwTsR9GP0LSamdaE,part_132,2026-09-22 06:00:45,5713
MD Naik Hall,Banquet Hall,Wedding venue,Wedding venue,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 90288 23204,N/A,3.9,,"58, Udyam Nagar Rd, Udyamnagar, Patwardhan Wadi, Zadgaon, Maharashtra 415639","Udyamnagar, Patwardhan Wadi",16.999102099999998,73.3132518,ChIJQSKdaBoN6jsR-BPV3SMlZy4,https://www.google.com/maps/place/?q=place_id:ChIJQSKdaBoN6jsR-BPV3SMlZy4,part_132,2026-09-22 06:00:45,5714
Sharada Mangal Karyalay,Banquet Hall,Wedding venue,Wedding venue,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 79725 36137,N/A,4.7,,"Mumba, Mumbai - Goa Hwy, Village-Kondmala, Chiplun, Maharashtra 415606",Village-Kondmala,17.4363547,73.528295,ChIJb3CsNN4BwjsRZcNqL-b1Nj8,https://www.google.com/maps/place/?q=place_id:ChIJb3CsNN4BwjsRZcNqL-b1Nj8,part_132,2026-09-22 06:00:45,5715
Datta Mangal Karyalay Kadwai,Banquet Hall,Banquet hall,Banquet hall,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 74473 26068,N/A,5.0,,"A/P Kadwai , Kadwai Chikhali Raod ,TAl-Sangmeshwar,Dist, Maharashtra 415609",415714,17.2676733,73.566608,ChIJg0MNGCv7wTsR4qRyN_MWXag,https://www.google.com/maps/place/?q=place_id:ChIJg0MNGCv7wTsR4qRyN_MWXag,part_132,2026-09-22 06:00:45,5716
Shree swami samarth hall,Banquet Hall,Banquet hall,Banquet hall,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",+91 98346 64501,N/A,4.1,,"Salvi stop, Pushpendra Nagar, Nachane, Maharashtra 415639",Pushpendra Nagar,16.991836799999998,73.32811029999999,ChIJze2rIt4M6jsRwzcwLXIySrs,https://www.google.com/maps/place/?q=place_id:ChIJze2rIt4M6jsRwzcwLXIySrs,part_132,2026-09-22 06:00:45,5717
Kharvi Samaj Hall,Banquet Hall,Event venue,Event venue,415714,Maharashtra Circle,Goa-Panaji Region,RATNAGIRI DIVISION,"Anjarla S.O, Ade B.O, Adkhaltari B.O",N/A,N/A,3.6,,"X8W6+V3Q, MIDC Zadgaon Block, Gharkul Co-op. Housing Society, Zadgaon, Maharashtra 415639","MIDC Zadgaon Block, Gharkul Co-op. Housing Society",16.9972112,73.310226,ChIJf0UMyRAN6jsRqvxIcCOeOQk,https://www.google.com/maps/place/?q=place_id:ChIJf0UMyRAN6jsRqvxIcCOeOQk,part_132,2026-09-22 06:00:45,5718
