business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ambai Bazar,Departmental Store,Grocery store,Grocery store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.3,,"PF32+JRF, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.704071,74.45203819999999,ChIJY3g0P4EdwTsR7Ey4REdxEZE,https://www.google.com/maps/place/?q=place_id:ChIJY3g0P4EdwTsR7Ey4REdxEZE,part_133,2026-09-22 06:00:16
OM Sales Corporation,Departmental Store,Business center,"Business center, Bearing supplier, Belt shop, Fastener supplier, Hardware store, Industrial Spares & Products Wholesaler, Industrial supermarket, Measuring instruments supplier",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 97717 37955,http://www.om-group.in/,5.0,,"22/1616, Station Road, near Hotel Rajdoot, Vikash Nagar, Jawaharnagar, Maharashtra 416115",Vikash Nagar,16.702477299999998,74.4551145,ChIJWT7pP6IdwTsRe8M_OTSyl6M,https://www.google.com/maps/place/?q=place_id:ChIJWT7pP6IdwTsRe8M_OTSyl6M,part_133,2026-09-22 06:00:16
Mart-O,Departmental Store,Grocery store,Grocery store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.9,,"PC3R+M73, Pathan Galli, Kabnur, Maharashtra 416138",Kabnur,16.704215299999998,74.4405397,ChIJm57dRQAdwTsRzMuCa0yuPnk,https://www.google.com/maps/place/?q=place_id:ChIJm57dRQAdwTsRzMuCa0yuPnk,part_133,2026-09-22 06:00:16
Daily Needs,Departmental Store,Grocery store,Grocery store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 98901 22577,N/A,4.5,,"Plot No 51 Shree Parvati Bunglow Mahadik vasahat, Datta Mandir Road, Kolhapur, Maharashtra 416005",Ruikar Colony,16.703312999999998,74.25998589999999,ChIJicrZragBwTsROtERg2WPsHg,https://www.google.com/maps/place/?q=place_id:ChIJicrZragBwTsROtERg2WPsHg,part_133,2026-09-22 06:00:16
D Mart,Departmental Store,Supermarket,Supermarket,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,https://www.dmartindia.com/,4.3,,"P65V+G48, Sadar Bazar Rd, near E Ward, E Ward, Tarabai Park, Kolhapur, Maharashtra 416003","E Ward, Tarabai Park",16.708798599999998,74.2428133,ChIJRVuCikIAwTsRKw1U8YgpYqI,https://www.google.com/maps/place/?q=place_id:ChIJRVuCikIAwTsRKw1U8YgpYqI,part_133,2026-09-22 06:00:16
Anubandhan Departmental Stores,Departmental Store,Department store,"Department store, Bag shop, Gift shop, Toy store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 99705 11008,N/A,3.9,,"Sarlashkar Bhavan, 76B, Jotiba Rd, B Ward, C Ward, Kolhapur, Maharashtra 416012","B Ward, C Ward",16.695494,74.22192299999999,ChIJQYDapgsAwTsRxXW19Gc7k-s,https://www.google.com/maps/place/?q=place_id:ChIJQYDapgsAwTsRxXW19Gc7k-s,part_133,2026-09-22 06:00:16
Lucky Bazar,Departmental Store,Supermarket,Supermarket,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 77200 67979,N/A,3.9,,"Shahu Mill Road, 8th Ln, Rajarampuri, Kolhapur, Maharashtra 416008",Rajarampuri,16.6934094,74.2413612,ChIJe9COHRYAwTsRdFrzpfdcoDw,https://www.google.com/maps/place/?q=place_id:ChIJe9COHRYAwTsRdFrzpfdcoDw,part_133,2026-09-22 06:00:16
Apala Bazaar,Departmental Store,Grocery store,Grocery store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,4.3,,"222/1, road, Rajguru Nagar, Kolhapur, Hupari, Maharashtra 416203",Rajguru Nagar,16.6225482,74.4003408,ChIJ_cjiFlH9wDsRLns05bfhUUA,https://www.google.com/maps/place/?q=place_id:ChIJ_cjiFlH9wDsRLns05bfhUUA,part_133,2026-09-22 06:00:16
Rahul Traders,Departmental Store,Indian grocery store,"Indian grocery store, Cell phone store, General store, Print shop, Shopping mall",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 90210 21010,N/A,3.3,,"Vivekanand Nagar Road, Sahajivan Colony, Korochi, Vivekanandnagar, Maharashtra 416109","Sahajivan Colony, Korochi",16.719934,74.4429036,ChIJVSRjuA0dwTsRvBe2VSC_bnE,https://www.google.com/maps/place/?q=place_id:ChIJVSRjuA0dwTsRvBe2VSC_bnE,part_133,2026-09-22 06:00:16
Lingras complex ( Reliance Smart Point),Departmental Store,Grocery store,Grocery store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,3.9,,"near khadicha ganpati mandir, Ratnappa Kumbhar Nagar, Pachgaon, Maharashtra 416013",Ratnappa Kumbhar Nagar,16.6594014,74.2416954,ChIJ6euQG0X_wDsR_T4_jW7b4ZQ,https://www.google.com/maps/place/?q=place_id:ChIJ6euQG0X_wDsR_T4_jW7b4ZQ,part_133,2026-09-22 06:00:16
sankpal general stores,Departmental Store,General store,General store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,N/A,N/A,5.0,,"135, Kadamwadi Rd, E Ward, Tarabai Park, Kolhapur, Maharashtra 416003","E Ward, Tarabai Park",16.710890199999998,74.2475674,ChIJP97Mvo8BwTsRN_KrmPCtpKU,https://www.google.com/maps/place/?q=place_id:ChIJP97Mvo8BwTsRN_KrmPCtpKU,part_133,2026-09-22 06:00:16
Happy Home Plastic & House Hold,Departmental Store,Supermarket,"Supermarket, General store",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 80072 90027,N/A,3.3,,"11, 1139, Station Road, Jawaharnagar, Maharashtra 416115",Jawaharnagar,16.7043008,74.4516467,ChIJy4gCrYIdwTsRF8iUAS8Ynsk,https://www.google.com/maps/place/?q=place_id:ChIJy4gCrYIdwTsRF8iUAS8Ynsk,part_133,2026-09-22 06:00:16
Rajeshwar Super Bazar,Departmental Store,General store,General store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96991 25765,N/A,,,"near Deccan Singal, Ganesh Nagar, Venkatesh Colony, Khotwadi, Maharashtra 416116","Ganesh Nagar, Venkatesh Colony",16.7112674,74.45566749999999,ChIJSzk6TZEdwTsRBAeQh9xjXcc,https://www.google.com/maps/place/?q=place_id:ChIJSzk6TZEdwTsRBAeQh9xjXcc,part_133,2026-09-22 06:00:16
ARUN SHOP,Departmental Store,Grocery store,Grocery store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 96736 28812,N/A,4.0,,"SHAHAPUR ROAD, near GANGA NAGAR, opposite SUGAR FACTORY, Korochi, Kabnur, Maharashtra 416116",Korochi,16.714137,74.444955,ChIJpTFzTwUdwTsRkep3OKoPsT4,https://www.google.com/maps/place/?q=place_id:ChIJpTFzTwUdwTsRkep3OKoPsT4,part_133,2026-09-22 06:00:16
SATYAM GLOBAL FOOD MART,Departmental Store,Supermarket,"Supermarket, Asian grocery store, Fresh food market, Frozen food store, Gourmet grocery store, Ham shop",416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 93094 03436,N/A,4.4,,"SHOP NO.14 KONARK CENTRE NEAR HOTEL ANUGRAH I CBS STAND, opp. HOTEL K SQUARE, New Shahupuri, Kolhapur, Maharashtra 416003",New Shahupuri,16.7052738,74.2434413,ChIJvynlRPYBwTsRO07hn4bAmU0,https://www.google.com/maps/place/?q=place_id:ChIJvynlRPYBwTsRO07hn4bAmU0,part_133,2026-09-22 06:00:17
D.D Shetye,Departmental Store,Grocery store,Grocery store,416116,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,Ganganagar Ichalkaranji S.O,+91 91564 23604,N/A,4.3,,"Shop No 2940 And 41, Kapiltirth market, Mahadwar Rd, Shivaji Peth A Ward, C Ward, Kolhapur, Maharashtra 416012","Shivaji Peth A Ward, C Ward",16.6943592,74.221935,ChIJe2zduAsAwTsRyfcXmkHXJhI,https://www.google.com/maps/place/?q=place_id:ChIJe2zduAsAwTsRyfcXmkHXJhI,part_133,2026-09-22 06:00:17
