business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Insignia Commercial Complex,Commercial Complex,Apartment building,Apartment building,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,,,"P64X+578, Old Pune-Bangalore Hwy, Shivaji Park, Shahupuri, Kolhapur, Maharashtra 416001","Shivaji Park, Shahupuri",16.705402,74.248216,ChIJQdyru0YAwTsRVeBe849uCQI,https://www.google.com/maps/place/?q=place_id:ChIJQdyru0YAwTsRVeBe849uCQI,part_133,2026-09-22 06:01:53
Parshwanath Agency,Commercial Complex,Shopping mall,Shopping mall,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,4.5,,"M8QG+4H3, Vasagade, Maharashtra 416119",416118,16.6877501,74.32643689999999,ChIJJ5qAqpcDwTsRSttPcGJB4EE,https://www.google.com/maps/place/?q=place_id:ChIJJ5qAqpcDwTsRSttPcGJB4EE,part_133,2026-09-22 06:01:53
राजु सय्यद,Commercial Complex,Plastic Bags Wholesaler,"Plastic Bags Wholesaler, Bag shop, Housing complex",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 98222 25901,N/A,5.0,,"Sajani, Maharashtra 416116",416118,16.7100729,74.39484259999999,ChIJzfrNm-8DwTsRN9S7rtd8O4w,https://www.google.com/maps/place/?q=place_id:ChIJzfrNm-8DwTsRN9S7rtd8O4w,part_133,2026-09-22 06:01:53
Dhan Laxmi enterprise,Commercial Complex,Countertop store,"Countertop store, Hotel",416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 88884 86705,N/A,5.0,,"Valivade Valivade, road, Kolhapur, Maharashtra 416119",416118,16.711460799999998,74.3175576,ChIJ_QtizNMDwTsR0V9PWHTGpSo,https://www.google.com/maps/place/?q=place_id:ChIJ_QtizNMDwTsR0V9PWHTGpSo,part_133,2026-09-22 06:01:53
परवीन नाँव्हेटीज,Commercial Complex,Shopping mall,Shopping mall,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,4.0,,"P9F4+CQ2, Rukadi, Maharashtra 416118",416118,16.7235046,74.3568904,ChIJa589vtwDwTsRuMrZ0JoG8nQ,https://www.google.com/maps/place/?q=place_id:ChIJa589vtwDwTsRuMrZ0JoG8nQ,part_133,2026-09-22 06:01:53
Money Plaza,Commercial Complex,Shopping mall,Shopping mall,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 98608 49868,N/A,4.1,,"P9F4+9XR, Main Road, Rukadi, Maharashtra 416118",416118,16.7234965,74.35738049999999,ChIJ02wNNVYCwTsRojvyy5o1wqA,https://www.google.com/maps/place/?q=place_id:ChIJ02wNNVYCwTsRojvyy5o1wqA,part_133,2026-09-22 06:01:53
urvis_trend_house,Commercial Complex,Shopping mall,Shopping mall,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,,,"near ganpati mandir, fata, Rukadi, Atigre, Maharashtra 416118",fata,16.7413328,74.3675446,ChIJKem9UFYDwTsRQEsnh0xZGg4,https://www.google.com/maps/place/?q=place_id:ChIJKem9UFYDwTsRQEsnh0xZGg4,part_133,2026-09-22 06:01:53
Rudra Complex,Commercial Complex,Store,Store,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,,,"416118, Miraj Rd, Male, Chokak, Maharashtra 416118",416118,16.7457583,74.3404165,ChIJlUvOIQADwTsRP9eL9iYK2b0,https://www.google.com/maps/place/?q=place_id:ChIJlUvOIQADwTsRP9eL9iYK2b0,part_133,2026-09-22 06:01:53
S P Sales And Services,Commercial Complex,Hardware store,Hardware store,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 96736 84670,N/A,5.0,,"Shrimp Laxmi Industrial Estate, opp. Omcast Cleaned Shop, now 4, Hatkanangale, Maharashtra 416109","Shri Laxmi Co-op. Industrial Estate, now 4",16.7342796,74.41568749999999,ChIJT1d2oYodwTsRHJyduV6G0C0,https://www.google.com/maps/place/?q=place_id:ChIJT1d2oYodwTsRHJyduV6G0C0,part_133,2026-09-22 06:01:53
The Empire,Commercial Complex,Shopping mall,Shopping mall,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,4.1,,"P68R+H67, behind Pitli Ganpati Mandir, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.716416199999998,74.24055059999999,ChIJAdrBUWcAwTsR2lEg017awFw,https://www.google.com/maps/place/?q=place_id:ChIJAdrBUWcAwTsR2lEg017awFw,part_133,2026-09-22 06:01:54
The Broadway,Commercial Complex,Condominium complex,Condominium complex,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",N/A,N/A,4.5,,"E ward, C.S. No 474/4/5, opposite Ruikar Colony, Laxminarayan Nagar, Kadamwadi, Kolhapur, Maharashtra 416005","Laxminarayan Nagar, Kadamwadi",16.7081652,74.25902719999999,ChIJ1Y2e2dUBwTsRclLz_qJEpYQ,https://www.google.com/maps/place/?q=place_id:ChIJ1Y2e2dUBwTsRclLz_qJEpYQ,part_133,2026-09-22 06:01:54
The Nexus Group,Commercial Complex,Real estate developer,Real estate developer,416118,Maharashtra Circle,Goa-Panaji Region,Kolhapur Division,"Rukadi S.O, Atigre B.O, Chokak B.O",+91 96737 30404,https://thenexusgroup.in/,5.0,,"506, A, wing The Empire, Tarabai Park, Kolhapur, Maharashtra 416003",Tarabai Park,16.7160297,74.2406772,ChIJbwyIAZWs4mQRCOFh8rZnSkQ,https://www.google.com/maps/place/?q=place_id:ChIJbwyIAZWs4mQRCOFh8rZnSkQ,part_133,2026-09-22 06:01:54
