business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tourlence Holidays | Travel Agency in Jaipur,Tour and Travel Operator,Tour operator,"Tour operator, Sightseeing Tour Operator, Transportation service, Travel agency",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98287 01214,https://tourlenceholidays.com/,4.8,,"1st Floor, Alankar Plaza, F-52, Sector 2, Central Spine, Vidyadhar Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302039","Sector 2, Central Spine, Vidyadhar Nagar",26.9627527,75.7805655,ChIJvbccmEmzbTkR6ddQ0Jf6Ris,https://www.google.com/maps/place/?q=place_id:ChIJvbccmEmzbTkR6ddQ0Jf6Ris,part_136,2026-09-22 06:00:35
Global Destination Management,Tour and Travel Operator,Tour agency,Tour agency,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 11 4759 0591,https://globaldestination.in/,4.6,,"115, 1st Floor, R.G. Complex-2, Sector-14, Near PVR Cinemas, Prashant Vihar, Rohini, New Delhi, Delhi 110085","Block C 2, Sector 14, Rohini",28.715315999999998,77.135166,ChIJC_Pa_GQBDTkR95uD4ecv1S4,https://www.google.com/maps/place/?q=place_id:ChIJC_Pa_GQBDTkR95uD4ecv1S4,part_136,2026-09-22 06:00:35
SAFAR Tours & Travels Private Limited,Tour and Travel Operator,Tour operator,Tour operator,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 74474 33233,https://www.safartravels.co.in/,4.6,,"Sykes Extension Shahaji Law College, to Takala Road, Kolhapur, Maharashtra 416001",Sykes Extension,16.6998234,74.2433633,ChIJ3VfiwT0AwTsRnEgoUmzwpfE,https://www.google.com/maps/place/?q=place_id:ChIJ3VfiwT0AwTsRnEgoUmzwpfE,part_136,2026-09-22 06:00:35
Travelkars Holidays,Tour and Travel Operator,Tour operator,"Tour operator, Tour agency, Tourist information center, Travel agency",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 90216 54600,https://travelkars.com/,4.7,,"11 th Lane, Veer Abhimanyu Chowk, Bhaji Mandai, Jaysingpur, Maharashtra 416101",Sambhaji Nagar,16.778375399999998,74.5556537,ChIJSYWl_CQfwTsRRuEc8xoJgvs,https://www.google.com/maps/place/?q=place_id:ChIJSYWl_CQfwTsRRuEc8xoJgvs,part_136,2026-09-22 06:00:35
Hop N Go Adventures Pvt Ltd,Tour and Travel Operator,Tour operator,Tour operator,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",N/A,http://www.hopngoadventures.com/,4.8,,"Sakar 5, 314, Underpass, near Mithakali, behind Vijay Sales, Ellisbridge, Ahmedabad, Gujarat 380009",Ellisbridge,23.0299119,72.569329,ChIJb0CbqniFXjkRY6USDSdubbM,https://www.google.com/maps/place/?q=place_id:ChIJb0CbqniFXjkRY6USDSdubbM,part_136,2026-09-22 06:00:35
"Om Gurudev Tours and Travels Company, Tourism Holiday Packages",Tour and Travel Operator,Tour operator,"Tour operator, Bus tour agency, Sightseeing Tour Operator, Tour agency, Tourist information center, Travel agency",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 95358 82386,http://omgurudevtours.in/,4.9,,"Royal 09 tourist bussiness hub, Kolhapur Station Rd, near wateshwar mahadev temple, below png jewelers, Tarabai Park, Kolhapur, Maharashtra 416001",Tarabai Park,16.7054692,74.2446353,ChIJc1eMAvvjwDsRsm1cIxCctPY,https://www.google.com/maps/place/?q=place_id:ChIJc1eMAvvjwDsRsm1cIxCctPY,part_136,2026-09-22 06:00:35
A Heaven Holiday,Tour and Travel Operator,Tour agency,"Tour agency, International trade consultant, Passport Agent, Tour operator, Travel agency, Visa Agent",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99607 93700,https://aheavenholiday.in/,4.3,,"B11 1st Floor, Prabhakar Plaza, Kolhapur Station Rd, New Shahupuri, Kolhapur, Maharashtra 416001",New Shahupuri,16.7043683,74.2401615,ChIJ-_zDDGoAwTsR160XujiIYWQ,https://www.google.com/maps/place/?q=place_id:ChIJ-_zDDGoAwTsR160XujiIYWQ,part_136,2026-09-22 06:00:35
Mangalmurti Tours & Travels,Tour and Travel Operator,Travel agency,Travel agency,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 80072 57072,N/A,4.9,,"Kasal - Malvan Rd, Kasal, Maharashtra 416603",416805,16.148695399999998,73.6961446,ChIJDezHFyERwDsRhAHcQyqz6Iw,https://www.google.com/maps/place/?q=place_id:ChIJDezHFyERwDsRhAHcQyqz6Iw,part_136,2026-09-22 06:00:35
Travel Point Services,Tour and Travel Operator,Travel agency,Travel agency,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96236 29744,http://www.travelpointservices.in/,4.7,,"8th Ln, near Saraswat Bank, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008","Poorvarang, Mahalaxminagar, Rajarampuri",16.6940807,74.24229969999999,ChIJmaiyTuYBwTsROjDXS8LQMX0,https://www.google.com/maps/place/?q=place_id:ChIJmaiyTuYBwTsROjDXS8LQMX0,part_136,2026-09-22 06:00:35
Shouryam Holidays,Tour and Travel Operator,Tour operator,Tour operator,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98229 42324,N/A,5.0,,"Building No.74, Mahatma Phule Building, Flat No. 3, near Rankala Parisar, Ambai Tank Area, Parisar, Kolhapur, Maharashtra 416010","Ambai Tank Area, Parisar",16.694584799999998,74.20564259999999,ChIJjVaWaX-rwTsRCseg-fqhaLA,https://www.google.com/maps/place/?q=place_id:ChIJjVaWaX-rwTsRCseg-fqhaLA,part_136,2026-09-22 06:00:35
Bharari Expeditions,Tour and Travel Operator,Tour operator,Tour operator,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 99605 03057,N/A,5.0,,"Khalchi Bazarpeth, Anan Wadi, Devgad, Maharashtra 416613",Anan Wadi,16.376104899999998,73.3755742,ChIJbxSLJ5-d6jsRNfLoJpK_Ys4,https://www.google.com/maps/place/?q=place_id:ChIJbxSLJ5-d6jsRNfLoJpK_Ys4,part_136,2026-09-22 06:00:35
Tendulkar's Tours & Travels,Tour and Travel Operator,Travel agency,"Travel agency, Car leasing service, Car rental agency, Chauffeur service, Two Wheeler Rental Agency, Scooter rental service, Tour agency, Tour operator",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 95953 11850,http://www.tendulkarstourstravels.com/,4.9,,"near RSN Hotel, opposite Kokan Spice Hotel, Gudhipur, Kudal, Maharashtra 416520",Gudhipur,16.0002772,73.6928448,ChIJU_FI07kHwDsRLHPwKbCXzCs,https://www.google.com/maps/place/?q=place_id:ChIJU_FI07kHwDsRLHPwKbCXzCs,part_136,2026-09-22 06:00:35
Shreyash Tours And Travles,Tour and Travel Operator,Travel agency,Travel agency,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 87797 59606,N/A,5.0,,"AT, POST, near pradnya hardware, Mond, Devgad, Maharashtra 416612",416805,16.3784414,73.4087681,ChIJ3bxZNCKd6jsRaAHb5d5so4E,https://www.google.com/maps/place/?q=place_id:ChIJ3bxZNCKd6jsRaAHb5d5so4E,part_136,2026-09-22 06:00:35
sai siddhi tours and travels,Tour and Travel Operator,Tour operator,Tour operator,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 86006 19461,N/A,1.0,,"Panhala, Devale, Maharashtra 416213",416805,16.8507295,74.1055519,ChIJWRqCGOKlwTsRR3Hiix7WIDI,https://www.google.com/maps/place/?q=place_id:ChIJWRqCGOKlwTsRR3Hiix7WIDI,part_136,2026-09-22 06:00:35
