business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
My 1st Step Preschool and Daycare Center,Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Montessori school, Nursery school, Playground, Playgroup, School bus service, School house",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 70034 26215,http://www.my1ststep.in/,5.0,8.0,"4th Floor, My 1st step Preschool & Daycare Center Urban Square, Kesnand Rd, Wagholi, Pune, Maharashtra 412207",Wagholi,18.573229599999998,74.01753049999999,ChIJbbaQ6ELDwjsRuWWNhHI_kdY,https://www.google.com/maps/place/?q=place_id:ChIJbbaQ6ELDwjsRuWWNhHI_kdY,part_136,2026-09-22 06:00:45
Little Pearls Nursery School,Play School and Daycare,Nursery school,Nursery school,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 92250 69092,http://www.cipsnagpur.edu.in/,4.9,732.0,"Plot No. 09, Bhandara Rd, Wardhaman Nagar Colony, Nagpur, Maharashtra 440008",Wardhaman Nagar Colony,21.151260999999998,79.1356174,ChIJVVUV6hTH1DsRvlTvzpHsg3o,https://www.google.com/maps/place/?q=place_id:ChIJVVUV6hTH1DsRvlTvzpHsg3o,part_136,2026-09-22 06:00:45
Toddler Doodler Preschool,Play School and Daycare,Preschool,Preschool,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 70570 55700,https://www.instagram.com/toddler.doodler/profilecard/?igsh=ZmZmN2h4d3Q1YXRv,4.9,123.0,"Mankar Mala, 06, Makhmalabad Rd, behind Mankar Petrol Pump, near Shree Ganesh Vishwakarma Temple, Makhmalabad, Nashik, Maharashtra 422003",Makhmalabad,20.0499013,73.77769049999999,ChIJA9J8K1_p3TsRU3aPGN_-QV4,https://www.google.com/maps/place/?q=place_id:ChIJA9J8K1_p3TsRU3aPGN_-QV4,part_136,2026-09-22 06:00:45
Children's playschool and daycare,Play School and Daycare,Day care center,"Day care center, Studying center",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 91687 73483,N/A,5.0,2.0,"near chuna masjid, near chandra dairy, Ganjakhet Chowk, Itwari, Nagpur, Maharashtra 440002","Ganjakhet Chowk, Itwari",21.154603599999998,79.1053647,ChIJN5ayHmrB1DsRt0kewb-C320,https://www.google.com/maps/place/?q=place_id:ChIJN5ayHmrB1DsRt0kewb-C320,part_136,2026-09-22 06:00:45
"Coco Cubs International Preschool and Day Care, Gangapur Road",Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Montessori preschool, Nursery school, Playgroup",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 81778 95253,https://www.cococubspreschool.in/,4.9,35.0,"Bungalow 19, Gangapur Rd, Sector-A, Ganpati Nagar, Anandvalli, Nashik, Maharashtra 422013","Sector-A, Ganpati Nagar, Anandvalli",20.0130366,73.7456697,ChIJbag_i0Lt3TsR3iLUnYhzAco,https://www.google.com/maps/place/?q=place_id:ChIJbag_i0Lt3TsR3iLUnYhzAco,part_136,2026-09-22 06:00:45
Kohinoor kids international school,Play School and Daycare,Day care center,"Day care center, After school program, Art school, Preschool, Kindergarten School, Montessori school, Nursery school, School bus service, Sports club, Summer camp organizer",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 82086 66125,N/A,4.8,181.0,"Shewanti bunglow, Hirawadi Rd, Vidhate nagar, Panchavati, Nashik, Maharashtra 422003","Vidhate nagar, Panchavati",20.0136812,73.8056148,ChIJ5eP_kVvr3TsRuFM4rY80WzU,https://www.google.com/maps/place/?q=place_id:ChIJ5eP_kVvr3TsRuFM4rY80WzU,part_136,2026-09-22 06:00:45
Flying Tots Preschool and Activity center,Play School and Daycare,Preschool,Preschool,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 79725 23982,http://www.edusmartinc.com/,5.0,6.0,"near B & C Office, Bijli Nagar, Kankavli, Maharashtra 416602","Bijli Nagar, Kankavli",16.2575938,73.71414659999999,ChIJxZu1PakXwDsRgeO9ddndiqE,https://www.google.com/maps/place/?q=place_id:ChIJxZu1PakXwDsRgeO9ddndiqE,part_136,2026-09-22 06:00:45
Kidzee Akola,Play School and Daycare,Preschool,Preschool,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 98506 16002,http://www.kidzee.com/,5.0,747.0,"H-12, Mhada Colony, near Sanskruti Restaurent, Ram Nagar, Ranpise Nagar, Akola, Maharashtra 444001","Ram Nagar, Ranpise Nagar",20.7093831,77.0115869,ChIJIRS_lB0u1zsRQ4jyhV9Nb64,https://www.google.com/maps/place/?q=place_id:ChIJIRS_lB0u1zsRQ4jyhV9Nb64,part_136,2026-09-22 06:00:45
Funland Kindergarden,Play School and Daycare,Kindergarten School,"Kindergarten School, Preschool, Primary school, School house",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 93732 87953,http://funlandnagpur.com/,4.8,96.0,"N Ambazari Rd, next to Titan Showroom, Khare Town, Dharampeth, Nagpur, Maharashtra 440010","Khare Town, Dharampeth",21.136519399999997,79.06198979999999,ChIJMzRgM2LA1DsR8aPDp16FvEs,https://www.google.com/maps/place/?q=place_id:ChIJMzRgM2LA1DsR8aPDp16FvEs,part_136,2026-09-22 06:00:45
ARJUNA KIDZEE PRESCHOOL,Play School and Daycare,Preschool,"Preschool, CBSE School, K-12 school",416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 94237 78738,http://www.kidzee.com/,5.0,181.0,"1176, Sai Nagar, N-6, Cidco, Chhatrapati Sambhajinagar, Maharashtra 431003","Sai Nagar, N-6, Cidco",19.8827258,75.3601628,ChIJmWrWeTuj2zsRoDseajkmIwk,https://www.google.com/maps/place/?q=place_id:ChIJmWrWeTuj2zsRoDseajkmIwk,part_136,2026-09-22 06:00:45
Indobrains Preschool,Play School and Daycare,Preschool,Preschool,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 94216 91025,N/A,5.0,399.0,"Plot No 1, Pratap Nagar, New Usmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005","Pratap Nagar, New Usmanpura",19.8608861,75.3294085,ChIJF2YJv5KZ2zsRS0xp0gNgTMc,https://www.google.com/maps/place/?q=place_id:ChIJF2YJv5KZ2zsRS0xp0gNgTMc,part_136,2026-09-22 06:00:45
Arambh Play School,Play School and Daycare,Preschool,Preschool,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 96895 24477,https://m.facebook.com/AarambhSishuVatika,4.9,8.0,"1st Floor, above Mahalaxmi Bank, opp. Kelavkar Hospital, E Ward, Tarabai Park, Kolhapur, Maharashtra 416003","E Ward, Tarabai Park",16.711422,74.2409729,ChIJoy1iN0QAwTsROZWludIBrDU,https://www.google.com/maps/place/?q=place_id:ChIJoy1iN0QAwTsROZWludIBrDU,part_136,2026-09-22 06:00:45
Kid'z Arena Preschool,Play School and Daycare,Preschool,Preschool,416805,Maharashtra Circle,Goa-Panaji Region,SINDHUDURG DIVISION,"Vada S.O (Sindhudurg), Nadan B.O, Pural B.O",+91 80 4803 0169,N/A,4.9,29.0,"Ashoka Marg, opp. to Ashoka Tower, Dwarka, Nashik, Maharashtra 422011",Dwarka,19.9798503,73.7989691,ChIJ8cLnx-Dq3TsRWFy_a08blp4,https://www.google.com/maps/place/?q=place_id:ChIJ8cLnx-Dq3TsRWFy_a08blp4,part_136,2026-09-22 06:00:45
