business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MHL | Mahalaxmi Architects | Best Architects | Ahmednagar,Architects,Architect,"Architect, Consultant, Interior designer",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 84466 61698,http://mhlarchitects.in/,5.0,,"Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003","Rasane Nagar, Savedi",19.1231497,74.7318663,ChIJ4Yp3qWax3DsRXCu-k0-e9WE,https://www.google.com/maps/place/?q=place_id:ChIJ4Yp3qWax3DsRXCu-k0-e9WE,part_138,2026-09-22 06:00:33
AJITBENDRE DESIGN STUDIO,Architects,Architect,Architect,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 75886 06638,N/A,5.0,,"Third Floor, Top 10, Imperial Nashik, Pune Highway, Suyog Colony, Sangamner, Maharashtra 422605",Suyog Colony,19.5790517,74.2058641,ChIJewtmQ5YB3TsRI7bJEeyEp5E,https://www.google.com/maps/place/?q=place_id:ChIJewtmQ5YB3TsRI7bJEeyEp5E,part_138,2026-09-22 06:00:33
ARDH Design Studio,Architects,Architecture firm,Architecture firm,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 84467 58778,http://ardh.studio/,4.8,,"60/A, Kavijung Nagar, Gulmohar Rd, Savedi, Ahilyanagar, Maharashtra 414003","Sawli Housing Society, Savedi",19.1186193,74.74846029999999,ChIJEc0OioS63DsRvO9i2EH2uGw,https://www.google.com/maps/place/?q=place_id:ChIJEc0OioS63DsRvO9i2EH2uGw,part_138,2026-09-22 06:00:33
Decoarch design studio,Architects,Architecture firm,Architecture firm,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 80555 55636,https://decoarchdesignstudio.in/,5.0,,"Pipeline Rd, in front of sbi bank Yashoda nagar, Gawade Mala, Savedi, Ahilyanagar, Nagar, Maharashtra 414003","Gawade Mala, Savedi",19.127775,74.7406324,ChIJrdLEY4a73DsRqcOK9I-VN1Q,https://www.google.com/maps/place/?q=place_id:ChIJrdLEY4a73DsRqcOK9I-VN1Q,part_138,2026-09-22 06:00:33
Next Level Architecture,Architects,Architectural designer,Architectural designer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 95297 05145,N/A,4.9,,"Dhumalwadi Road, Taluka, near ITI College, At Post, Akole, Ahmednagar, Maharashtra 422601",At Post,19.536154,73.99799449999999,ChIJje9FK6UJ3TsRi9Fg6C5eeOY,https://www.google.com/maps/place/?q=place_id:ChIJje9FK6UJ3TsRi9Fg6C5eeOY,part_138,2026-09-22 06:00:33
Avighna Architects and Planners office 2,Architects,Architect,Architect,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,5.0,,"Khadakwadi, Maharashtra 414304",422622,19.289223099999997,74.3618517,ChIJiZ0JGQDn3DsR_PYp31tNOIA,https://www.google.com/maps/place/?q=place_id:ChIJiZ0JGQDn3DsR_PYp31tNOIA,part_138,2026-09-22 06:00:33
AK ELEGANCE DESIGN STUDIO,Architects,Interior designer,"Interior designer, Architectural designer, Vastu consultant",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,5.0,,"Sneh, Saiban Colony E Rd, near Gayatri Mandir, Gaurav colony, Shivajinagar, Sangamner, Maharashtra 422605","Gaurav colony, Shivajinagar",19.578106599999998,74.20995719999999,ChIJQ35yDgMB3TsR4Z8IxY4xf9Q,https://www.google.com/maps/place/?q=place_id:ChIJQ35yDgMB3TsR4Z8IxY4xf9Q,part_138,2026-09-22 06:00:33
Sthapana Architects,Architects,Architect,Architect,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70200 94913,N/A,5.0,,"Shop no.2, janlaxmi complex, captain laxmi chowk, Rangargalli, Sangamner, Maharashtra 422605",Rangargalli,19.5676129,74.207104,ChIJD7ZipKAB3TsR2-YBQN_bmoU,https://www.google.com/maps/place/?q=place_id:ChIJD7ZipKAB3TsR2-YBQN_bmoU,part_138,2026-09-22 06:00:33
"Star Associates, Architects & Engineers",Architects,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,,,"Shop No 2, Sakur, Maharashtra 422622",422622,19.351938999999998,74.2988634,ChIJL698M4rh3DsRAMYMWW1NU3Y,https://www.google.com/maps/place/?q=place_id:ChIJL698M4rh3DsRAMYMWW1NU3Y,part_138,2026-09-22 06:00:33
ARVIND VAIDYA & ASSOCIATES,Architects,Architect,Architect,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 2425 225 784,N/A,4.7,,"H6H4+2JH, Shivajinagar, Sangamner, Maharashtra 422605",Shivajinagar,19.5775677,74.2066131,ChIJW-6RWS0A3TsRQI7keYpbpYM,https://www.google.com/maps/place/?q=place_id:ChIJW-6RWS0A3TsRQI7keYpbpYM,part_138,2026-09-22 06:00:33
Evarch Design Architects & Urban Planners Pvt.Ltd.,Architects,Architecture firm,"Architecture firm, Interior designer",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 94048 92017,http://www.evarchdesign.com/,4.7,23.0,"Office:101,1st Floor,Sham Height,Plot No.05 & CTS 1963, near RMD School, Chinchwad, Pune, Maharashtra 411033","Pawana Nagar Housing Society, Chinchwad",18.6313762,73.7771011,ChIJL3uo9vC5wjsR0qWA7rNfo7Q,https://www.google.com/maps/place/?q=place_id:ChIJL3uo9vC5wjsR0qWA7rNfo7Q,part_138,2026-09-22 06:00:33
Architect Pranjal Kulkarni & Associates,Architects,Architect,"Architect, Architecture firm, Building designer, Interior designer",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90282 22183,http://www.arpranjalkulkarni.com/,4.9,37.0,"Sharda Vihar, R-11, opposite Hockey Stadium Road, ring road, Padmala, Kolhapur, Maharashtra 416012","ring road, Padmala",16.677706699999998,74.2282355,ChIJM9YS4QIAwTsRCYjD0dDZvzo,https://www.google.com/maps/place/?q=place_id:ChIJM9YS4QIAwTsRCYjD0dDZvzo,part_138,2026-09-22 06:00:33
Saakaar Architects,Architects,Architect,Architect,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 22 2537 8701,http://www.saakaar.co.in/,4.5,103.0,"1st Floor, 2nd Floor, Nakshatra, Wing 'A', Near TMC Almeida Road, Thane (W, above Saraswat Bank, Panch Pakhdi, Thane West, Thane, Maharashtra 400601","Ramabai Ambedkar Nagar, Panch Pakhdi, Thane West",19.1984533,72.96672749999999,ChIJzXL4LCK55zsR0t5eiUIDGFM,https://www.google.com/maps/place/?q=place_id:ChIJzXL4LCK55zsR0t5eiUIDGFM,part_138,2026-09-22 06:00:33
Spacemekk Designers Pvt. Ltd.,Architects,Architect,"Architect, Interior designer, Architecture firm, Interior architect office, Landscape architect",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90110 72373,https://spacemekk.com/,4.6,82.0,"MSR capital,Office No .11,12, 2nd Floor, Old Mumbai - Pune Hwy, Morewadi, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","Morewadi, Pimpri Colony",18.6343359,73.8032683,ChIJUZCC9064wjsRfsxODeLEPD4,https://www.google.com/maps/place/?q=place_id:ChIJUZCC9064wjsRfsxODeLEPD4,part_138,2026-09-22 06:00:33
