business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Grow More Marketing,Growth Marketing,Advertising agency,Advertising agency,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 94221 48166,http://www.growmoremarketing.com/,5.0,16,"Road, Malbar Colony, Hajaripahad, Nagpur, Maharashtra 440006","Malbar Colony, Hajaripahad, Seminary Hills",21.1663291,79.0410385,ChIJHRM5OADB1DsRE1782kMmYpY,https://www.google.com/maps/place/?q=place_id:ChIJHRM5OADB1DsRE1782kMmYpY,part_138,2026-09-22 06:00:51
Easy Grow Business Solutions,Growth Marketing,Internet marketing service,"Internet marketing service, Advertising agency, Graphic designer, Marketing agency, Marketing consultant, Website designer",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 84213 13458,https://www.easygrowbusinesssolutions.com/,4.9,17,"Shop No. 4, near Ashirwad Patsanstha, opp. Hotel Sagar, Shivajinagar, Sangamner, Maharashtra 422605",Shivajinagar,19.5758565,74.2074295,ChIJ7360JZwB3TsR06wHByIcrIQ,https://www.google.com/maps/place/?q=place_id:ChIJ7360JZwB3TsR06wHByIcrIQ,part_138,2026-09-22 06:00:51
Growth Marketers,Growth Marketing,Marketing agency,Marketing agency,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 99879 87640,N/A,5.0,1,"Mahakali Caves Rd, Sunder Nagar, Andheri East, Mumbai, Maharashtra 400093","Sunder Nagar, Andheri East",19.1305177,72.8718872,ChIJXZI1iDG35zsRUvXgN9qQ658,https://www.google.com/maps/place/?q=place_id:ChIJXZI1iDG35zsRUvXgN9qQ658,part_138,2026-09-22 06:00:51
GrowthAcad | Digital Marketing Course In Nagpur | AI Powered,Growth Marketing,Training center,"Training center, Education center, Educational institution",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90220 71935,https://growthacad.com/courses/digital-marketing-in-nagpur/,4.9,904,"1st Floor, Cube Space, 379, Modi Number 3, opposite Zero Mile Metro Station, near Morris College T-Point, Sitabuldi, Nagpur, Maharashtra 440012",Sitabuldi,21.1465168,79.0815356,ChIJdU0ceLLH1DsRQv63UXTP_wU,https://www.google.com/maps/place/?q=place_id:ChIJdU0ceLLH1DsRQv63UXTP_wU,part_138,2026-09-22 06:00:51
Growith Digital,Growth Marketing,Marketing agency,"Marketing agency, Branding agency, Computer support and services, Design agency",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90220 14299,https://www.growithdigital.in/,5.0,19,"Shop No.B01, Veduta Resisdency, Sangli Road, opp. to Abhay Dairy Milk Products, Vrindavan Colony, Asara Nagar, Ichalkaranji, Maharashtra 416115","Vrindavan Colony, Asara Nagar",16.7026436,74.4779623,ChIJK2WjcMbjwDsR69LUIxGIR5k,https://www.google.com/maps/place/?q=place_id:ChIJK2WjcMbjwDsR69LUIxGIR5k,part_138,2026-09-22 06:00:51
Optimized Growth,Growth Marketing,Internet marketing service,Internet marketing service,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 93095 68046,https://optimizedgrowth.com/,5.0,81,"WeWork Futura, 03-134, Magarpatta Rd, Hadapsar, Pune, Maharashtra 411013",Hadapsar,18.5203335,73.9323067,ChIJ3zHKNqjBwjsR84HSb9w1Pzg,https://www.google.com/maps/place/?q=place_id:ChIJ3zHKNqjBwjsR84HSb9w1Pzg,part_138,2026-09-22 06:00:51
Growthpep ROI Driven Performance Marketing Agency,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency, E - Commerce Agency, Internet marketing service, Marketing consultant, Media Consultant",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98190 99461,http://growthpep.com/,5.0,23,"406, Janki Centre, Off Veera Desai Rd, Industrial Area, Andheri West, Mumbai, Maharashtra 400053","Industrial Area, Andheri West",19.1323236,72.8340424,ChIJDxSd_zLP5zsRS-GA51UkXZo,https://www.google.com/maps/place/?q=place_id:ChIJDxSd_zLP5zsRS-GA51UkXZo,part_138,2026-09-22 06:00:51
upGrowth,Growth Marketing,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Internet marketing service, Marketing consultant",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 97663 34689,https://upgrowth.in/,4.2,57,"upGrowth, 422622, India",422622,21.0680074,82.7525294,ChIJBWdsYYS_wjsRnKuDZU6as-s,https://www.google.com/maps/place/?q=place_id:ChIJBWdsYYS_wjsRnKuDZU6as-s,part_138,2026-09-22 06:00:51
Growthify.in,Growth Marketing,Marketing agency,"Marketing agency, E - Commerce Agency, Video production service",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 87806 36635,https://www.growthify.in/,4.2,34,"Addor Aspire, University Rd, University Area, Ahmedabad, Gujarat 380015",University Area,23.0308314,72.5481266,ChIJUb0DmHmbXjkRcIXOMMLdAu8,https://www.google.com/maps/place/?q=place_id:ChIJUb0DmHmbXjkRcIXOMMLdAu8,part_138,2026-09-22 06:00:51
GrowthAcad,Growth Marketing,Training center,"Training center, Education center, Educational consultant, Educational institution",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 81491 38218,https://growthacad.com/courses/digital-marketing/,4.6,488,"6th Floor, Corner Stone Premises, near Deccan Gymkhana, above Irani cafe, Deccan Gymkhana, Pune, Maharashtra 411004",Deccan Gymkhana,18.5142393,73.837738,ChIJ8ROAa4a_wjsR6fpvi6xcx-A,https://www.google.com/maps/place/?q=place_id:ChIJ8ROAa4a_wjsR6fpvi6xcx-A,part_138,2026-09-22 06:00:51
