business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
PARTH SHOE,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 88053 03081,N/A,5.0,,"179, Sardar peth Rd, Shirur, Maharashtra 412210",422622,18.827145899999998,74.3761902,ChIJf_v7vcktwzsRPB3dhqIJr9g,https://www.google.com/maps/place/?q=place_id:ChIJf_v7vcktwzsRPB3dhqIJr9g,part_138,2026-09-22 06:00:20
Amol Foot wear,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 99212 60201,N/A,5.0,,"Shop1 Sangamner, Ashwi Khurd, Maharashtra 413738",422622,19.5166762,74.36701819999999,ChIJX3k92q_73DsRw48jXn2tf2k,https://www.google.com/maps/place/?q=place_id:ChIJX3k92q_73DsRw48jXn2tf2k,part_138,2026-09-22 06:00:20
Walkway Shoes,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70217 82356,https://stores.walkwayshoes.com/walkway-shoes-baburao-nagar-shirur,4.8,,"Highway Centre, Pune - Ahilyanagar Hwy, Baburao Nagar, Shirur, Maharashtra 412210",Baburao Nagar,18.8185368,74.3671603,ChIJmcCuaAAtwzsRSzdCCyGTr08,https://www.google.com/maps/place/?q=place_id:ChIJmcCuaAAtwzsRSzdCCyGTr08,part_138,2026-09-22 06:00:20
Ramesh Shoe Mart,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,4.7,,"744V+MXV, Bota, Maharashtra 422602",422622,19.256729999999997,74.14493499999999,ChIJB8eABF0f3TsR-iGaoff_QWM,https://www.google.com/maps/place/?q=place_id:ChIJB8eABF0f3TsR-iGaoff_QWM,part_138,2026-09-22 06:00:20
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90024 41609,https://stores.trends-footwear.com/trends-footwear-rrl-centralplaza-jaigaon-shoe-shop-ns-road-alipurduar-477489/Home?utm_source=locator&utm_medium=googleplaces,4.9,,"Central Plaza Building, Plot No 29/291, NS Road, Jaigaon, West Bengal 736182",422622,26.8606502,89.3801546,ChIJ_eaTbJg3-DkR7AlgMEerrTY,https://www.google.com/maps/place/?q=place_id:ChIJ_eaTbJg3-DkR7AlgMEerrTY,part_138,2026-09-22 06:00:20
JAY BHARAT SHOE STORE,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98920 36876,N/A,4.1,,"Shop No.13,305,Kirshna Niwas,Yusuf Meherali Road, Next To Tamba Kata Taxi Stand, Mumbai, Maharashtra 400003","Chippi Chawl, Kalbadevi",18.9522849,72.831953,ChIJRwAAwCTO5zsRhiBWS070AK4,https://www.google.com/maps/place/?q=place_id:ChIJRwAAwCTO5zsRhiBWS070AK4,part_138,2026-09-22 06:00:20
Shoe Gallery,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 91679 77137,N/A,4.8,,"Shop No. 1, Sheldon Apartment, Station Rd, near Rajesh Hotel, Bhayandar, Chandulal Park, Bhayandar West, Mira Bhayandar, Maharashtra 401101","Bhayandar, Chandulal Park, Bhayandar West",19.304111499999998,72.8497782,ChIJZ2W1HtOx5zsR97JuqtvYD4E,https://www.google.com/maps/place/?q=place_id:ChIJZ2W1HtOx5zsR97JuqtvYD4E,part_138,2026-09-22 06:00:20
OM SHOES CENTR,Footwear and Shoe Store,Shoe store,"Shoe store, Sportswear store",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 93721 70060,N/A,4.6,,"Shop No.4, Ami Complex, near I C Colony, near Post office, I C Colony, Maryland Complex, Borivali West, Mumbai, Maharashtra 400103","I C Colony, Maryland Complex, Borivali West",19.2450342,72.8513273,ChIJK2KO4B-x5zsRcDqNi5_WmJo,https://www.google.com/maps/place/?q=place_id:ChIJK2KO4B-x5zsRcDqNi5_WmJo,part_138,2026-09-22 06:00:20
ADIYTA FOOTWARE,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 94034 16010,N/A,1.0,,"Ozar, Maharashtra 410504",422622,19.1920534,73.9612879,ChIJE-4tarY93TsR5OpFhQPCnYM,https://www.google.com/maps/place/?q=place_id:ChIJE-4tarY93TsR5OpFhQPCnYM,part_138,2026-09-22 06:00:20
Prakash shoes mart,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98192 81503,N/A,3.1,,"Shop no 23, pakitwala blog, 12/38, Kurla W Sta Rd, Kurla West, Kurla, Mumbai, Maharashtra 400070","Kurla West, Kurla",19.0658122,72.8785625,ChIJpd9HZpLI5zsR_T5deCq5pNw,https://www.google.com/maps/place/?q=place_id:ChIJpd9HZpLI5zsR_T5deCq5pNw,part_138,2026-09-22 06:00:20
Lusso Lifestyle,Footwear and Shoe Store,Shoe store,"Shoe store, Manufacturer, Shoe factory",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 73045 56216,http://www.lussolifestyle.com/,4.7,,"Shop No.1, Lusso Lifestyle, Guru Krupa, Sardar Vallabhbhai Patel Rd, Charni Road East, Opera House, Girgaon, Mumbai, Maharashtra 400004","Charni Road East, Opera House, Girgaon",18.957092199999998,72.8158527,ChIJCWgUhMLP5zsR0PoaMmx0tg0,https://www.google.com/maps/place/?q=place_id:ChIJCWgUhMLP5zsR0PoaMmx0tg0,part_138,2026-09-22 06:00:20
Vijay Shoe,Footwear and Shoe Store,Shoe store,"Shoe store, Footwear wholesaler",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 2138 222 352,https://vijayshoe.com/,2.9,,"197, Sardar peth Rd, Shirur, Maharashtra 412210",422622,18.8273588,74.3760664,ChIJa9qeS8ctwzsRqEV8wTGFe6U,https://www.google.com/maps/place/?q=place_id:ChIJa9qeS8ctwzsRqEV8wTGFe6U,part_138,2026-09-22 06:00:20
KAAS FOOTWEAR INDUSTRIES PVT.LTD,Footwear and Shoe Store,Shoe factory,Shoe factory,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98231 72020,N/A,4.6,,"IP 8, Khed City, Tal, Rajgurunagar, Maharashtra 410505",422622,18.8556648,73.8877737,ChIJf6EZtCo13TsRaQF92r660KQ,https://www.google.com/maps/place/?q=place_id:ChIJf6EZtCo13TsRaQF92r660KQ,part_138,2026-09-22 06:00:20
Navi Mumbai Shoes Corner,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70218 01538,N/A,4.1,,"Sector 1, Shiravane, Thane Belapur Road, Taha, Nerul, Navi Mumbai, Maharashtra 400706","Sector 1, Taha, Nerul",19.0494078,73.0198467,ChIJlUdhifnB5zsRbBL1HdisFvg,https://www.google.com/maps/place/?q=place_id:ChIJlUdhifnB5zsRbBL1HdisFvg,part_138,2026-09-22 06:00:20
Mochi Shoes,Footwear and Shoe Store,Shoe store,Shoe store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 91672 28485,https://store.mochishoes.com/mochi-shoes-shoe-shop-mumbai-maharashtra-vim,4.5,,"2nd floor, Inorbit Mall, S-3, Sector No. 30A, Vashi, Navi Mumbai, Maharashtra 400703","Sector No. 30A, Vashi",19.065709,73.00123099999999,ChIJDRYd7E7B5zsRp-Zl3ttRB5Q,https://www.google.com/maps/place/?q=place_id:ChIJDRYd7E7B5zsRp-Zl3ttRB5Q,part_138,2026-09-22 06:00:20
