business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Saideep Automobiles Pvt Ltd - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 92899 22485,https://dealers.heromotocorp.com/hero-motocorp/dealer-in-ahmednagar/dealer-in-Sarjepura/saideep-automobiles-pvt-ltd-hero-motocorp-in-Sarjepura-ahmednagar--579OWm/home,4.7,,"Saideep House, near Police Headquarters, Savedi, Ahilyanagar, Maharashtra 414001",Savedi,19.1255489,74.72596589999999,ChIJWzBnEmmw3DsRbytg9ljv3mg,https://www.google.com/maps/place/?q=place_id:ChIJWzBnEmmw3DsRbytg9ljv3mg,part_138,2026-09-22 06:00:27
YASH AUTOMOBILES,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor vehicle dealer, Motorcycle parts store, Two Wheeler Repair Shop, Motorcycle shop",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 120 524 4329,https://www.yashautomobile.in/,4.2,,"Ahmednagar - Aurangabad Rd, opp. Income Tax Office, Sarjepura city, Ahilyanagar, Maharashtra 414001",Sarjepura city,19.1022403,74.74275589999999,ChIJj4_OK2Ww3DsRHye-rL4Bsus,https://www.google.com/maps/place/?q=place_id:ChIJj4_OK2Ww3DsRHye-rL4Bsus,part_138,2026-09-22 06:00:27
Rironsi Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 241 242 2770,https://www.honda2wheelersindia.com/network/dealerLocator,4.2,,"Survey No. 246/A/2, Plot No.1 Nagar-Manmad Road Opp Auxilum School, Savedi, Ahilyanagar, Maharashtra 414003",Savedi,19.1288609,74.7254361,ChIJeWEVMWS63DsRWNfQjc4E-KY,https://www.google.com/maps/place/?q=place_id:ChIJeWEVMWS63DsRWNfQjc4E-KY,part_138,2026-09-22 06:00:27
Sablok Honda,Two Wheeler Showroom and Dealer,Motor scooter dealer,Motor scooter dealer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 72760 41111,http://www.sablokhonda.in/,4.3,,"Sarjepura Road Tarakpur Sarjepura, next to Sablok Petrol Pump, Ahilyanagar, Maharashtra 414001",Tarakpur,19.1021567,74.73794199999999,ChIJ8Wk0y3yw3DsRDrc7nEgykls,https://www.google.com/maps/place/?q=place_id:ChIJ8Wk0y3yw3DsRDrc7nEgykls,part_138,2026-09-22 06:00:27
Aher Motors,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,4.7,,"Stand 422620, Ghargaon, Maharashtra 422620",422622,19.315893,74.1746087,ChIJVzis-l4e3TsRFtlrPniaOlc,https://www.google.com/maps/place/?q=place_id:ChIJVzis-l4e3TsRFtlrPniaOlc,part_138,2026-09-22 06:00:27
Shivam Sales Corporation TVS (2 wheeler & EV) - Shivam chamber,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 8071 406 235,https://showroom.tvsmotor.com/locator/ahmednagar/Mahavir-Nagar/shivam-sales-corporation-tvs-2-wheeler-ev-in-Mahavir-Nagar-ahmednagar--1GnKyw/home,4.6,,"Block No 84/4, Shivam Chamber, Savedi Rd, opposite Zopadi Canteen, Mahavir Nagar, Ahilyanagar, Maharashtra 414003",Mahavir Nagar,19.1145344,74.7298175,ChIJIUclbX-63DsRqGPW9VJPpqY,https://www.google.com/maps/place/?q=place_id:ChIJIUclbX-63DsRqGPW9VJPpqY,part_138,2026-09-22 06:00:27
"Suzuki Motorcycle (Midas Suzuki, Ahmednagar, Savedi Nagar)",Two Wheeler Showroom and Dealer,Motor scooter dealer,Motor scooter dealer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 88799 56328,https://www.suzukimotorcyclesavedinaka.com/?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,3.7,,"Deshmukh Plaza, Bus Stand, Nagar, Manmad Rd, near Savedi, Katore Nagar, Bolhegaon Suburban, Ahilyanagar, Nagapur, Maharashtra 414003","Katore Nagar, Bolhegaon Suburban",19.1441885,74.71266729999999,ChIJCb37lWS63DsRXe14TGK9ev4,https://www.google.com/maps/place/?q=place_id:ChIJCb37lWS63DsRXe14TGK9ev4,part_138,2026-09-22 06:00:27
Bhansali Bizgrow TVS (2 wheeler & EV) - Sukkar Chowk,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 8071 406 643,https://showroom.tvsmotor.com/locator/ahilyanagar/Sukkar-Chowk/bhansali-bizgrow-llp-tvs-2-wheeler-ev-in-Sukkar-Chowk-ahilyanagar--6Zjzkt/home,4.6,,"Sakkar Chowk, Plot No 1/2, Nagar Pune Road, opposite Shilpa Appartment, Maniknagar, Ahilyanagar, Maharashtra 414001",Maniknagar,19.079618399999998,74.72984989999999,ChIJC99nbPew3DsRlfDkZIH5Jzw,https://www.google.com/maps/place/?q=place_id:ChIJC99nbPew3DsRlfDkZIH5Jzw,part_138,2026-09-22 06:00:27
Royal Enfield Showroom - Newaskar Automobiles,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 96197 52860,https://dealers.royalenfield.com/maharashtra/ahmednagar/kedgaon-newaskar-automobiles-9110044010?utm_source=GMBlisting&utm_medium=organic,4.7,,"Plot No 87, Kedgaon Industrial Estate, Pune - Ahilyanagar Hwy, Industrial Area, Ahilyanagar, Maharashtra 414005",Industrial Area,19.072183199999998,74.7177516,ChIJlaLADOSw3DsRrCZRIbFY_1Q,https://www.google.com/maps/place/?q=place_id:ChIJlaLADOSw3DsRrCZRIbFY_1Q,part_138,2026-09-22 06:00:27
Nizarneshwar Automobiles - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 96239 07996,https://dealers.heromotocorp.com/locator/ahilyanagar/sakur/nizarneshwar-automobiles-hero-motocorp-in-sakur-ahilyanagar--4s7fmi/home,,,"Sakur Chaufully, Sangamner Road, nearby HDFC Bank, Sakur, Maharashtra 422622",422622,19.354094099999998,74.2985882,ChIJC38TEwDj3DsRa7cc09Ioezs,https://www.google.com/maps/place/?q=place_id:ChIJC38TEwDj3DsRa7cc09Ioezs,part_138,2026-09-22 06:00:27
