business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Deshmukh Trading Company,Wholesale Market / Mandi,Wholesale grocer,Wholesale grocer,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90284 03330,N/A,4.2,285.0,"X-28, Hingna Rd, Hingna MIDC, Commercial Zone, Hingna, Digdoh, Maharashtra 440016","Hingna MIDC, Commercial Zone, Hingna",21.116284,79.010331,ChIJaYrd0lKV1DsRgugggynWsW4,https://www.google.com/maps/place/?q=place_id:ChIJaYrd0lKV1DsRgugggynWsW4,part_138,2026-09-22 06:00:52
BHAJI BAZAR RETAIL AND WHOLESALE,Wholesale Market / Mandi,Vegetable wholesale market,"Vegetable wholesale market, Fruit wholesaler, Produce market",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 97735 16964,N/A,5.0,20.0,"Shop No 17, Signature Point, Sector 18, Kharghar, Panvel, Maharashtra 410210","Sector 18, Kharghar",19.047466699999998,73.08132359999999,ChIJtTQNNCvD5zsRXlooaFTrfnc,https://www.google.com/maps/place/?q=place_id:ChIJtTQNNCvD5zsRXlooaFTrfnc,part_138,2026-09-22 06:00:52
KOLHAPUR MARKET,Wholesale Market / Mandi,Market,Market,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,https://apmckolhapur.com/pdfupload,4.1,29.0,"P62Q+PCX, Shahupuri, Kolhapur, Maharashtra 416001",Shahupuri,16.7018531,74.2386056,ChIJIUABh48BwTsRiPCx2xx6G6U,https://www.google.com/maps/place/?q=place_id:ChIJIUABh48BwTsRiPCx2xx6G6U,part_138,2026-09-22 06:00:52
fursungi wholesale market pune,Wholesale Market / Mandi,Clothing wholesale market place,Clothing wholesale market place,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,4.0,53.0,"FX86+QHV, Phursungi, Pune, Maharashtra 412308",Phursungi,18.466999299999998,73.9614094,ChIJvz0SbQTpwjsRHyqV90GPGBc,https://www.google.com/maps/place/?q=place_id:ChIJvz0SbQTpwjsRHyqV90GPGBc,part_138,2026-09-22 06:00:52
Shivalay coconut wholesaler,Wholesale Market / Mandi,Wholesale market,Wholesale market,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 97027 85526,N/A,5.0,3.0,"Garden Enclave Buildings 1 to 8, Devday nagar bus stop, opp. Jay bhavani bldg. , Devdya nagar, Pokhran Rd, Thane West, Maharashtra 400606","Unnathi Gardens, Thane West",19.215073,72.95821529999999,ChIJTX8k6B-55zsR5gUGf6Gwg0o,https://www.google.com/maps/place/?q=place_id:ChIJTX8k6B-55zsR5gUGf6Gwg0o,part_138,2026-09-22 06:00:52
Bhaji Market,Wholesale Market / Mandi,Grocery store,Grocery store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,3.7,27.0,"Vikramnagar, Kolhapur, Maharashtra 416005",Vikramnagar,16.7003008,74.26328869999999,ChIJww-yajUAwTsRK0EPddYC-FI,https://www.google.com/maps/place/?q=place_id:ChIJww-yajUAwTsRK0EPddYC-FI,part_138,2026-09-22 06:00:52
Shri ganesh trading company,Wholesale Market / Mandi,Wholesale grocer,"Wholesale grocer, Agricultural Product Wholesaler, Catering food and drink supplier, FMCG Goods Wholesaler, Food broker, Food products supplier, Wholesale Food Store",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70204 61939,http://www.besanwala.co.in/,4.9,75.0,"Subhash Rd, near Jayshree cinema, Cotton Market, Ganeshpeth Colony, Nagpur, Maharashtra 440018","Cotton Market, Ganeshpeth Colony",21.144668,79.0909205,ChIJy9W8kkbB1DsRxhrAJFx3MGw,https://www.google.com/maps/place/?q=place_id:ChIJy9W8kkbB1DsRxhrAJFx3MGw,part_138,2026-09-22 06:00:52
Wholesale Mandi Store | Domlur,Wholesale Market / Mandi,Fruit and vegetable store,Fruit and vegetable store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,https://wholesalemandi.com/,4.2,21.0,"347, 2nd Main Rd, AK Colony, Domlur I Stage, 1st Stage, Domlur, Bengaluru, Karnataka 560071","AK Colony, Domlur I Stage, 1st Stage, Domlur",12.958027999999999,77.6383608,ChIJ84HoNgAVrjsRi0Hp_5W84ME,https://www.google.com/maps/place/?q=place_id:ChIJ84HoNgAVrjsRi0Hp_5W84ME,part_138,2026-09-22 06:00:53
AKBARI MANDI TARDERS,Wholesale Market / Mandi,Spices Wholesaler,Spices Wholesaler,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",0321 7534923,N/A,4.1,38.0,"Circular Rd, Akbari Mandi Walled City of Lahore, Lahore, 54000, Pakistan",Akbari Mandi Walled City of Lahore,31.5789442,74.3247318,ChIJsWeTiD8bGTkRTQ6IYF5PnnI,https://www.google.com/maps/place/?q=place_id:ChIJsWeTiD8bGTkRTQ6IYF5PnnI,part_138,2026-09-22 06:00:53
Sabji Mandi,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 72970 37383,N/A,4.1,18.0,"Mandrael, Rajasthan 322251",422622,26.300342699999998,77.2397956,ChIJG3T4pcx1cTkRixRWMvZfJ9c,https://www.google.com/maps/place/?q=place_id:ChIJG3T4pcx1cTkRixRWMvZfJ9c,part_138,2026-09-22 06:00:53
