business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sai Sawali Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70574 22424,http://www.saisawalihospital.com/,4.5,,"Sai Sawali Multispeciality Hospital, Takli Dhokeshwar, Maharashtra 414304",422622,19.1582461,74.383746,ChIJvf1uu6Hb3DsRwJ6HtIs_lNM,https://www.google.com/maps/place/?q=place_id:ChIJvf1uu6Hb3DsRwJ6HtIs_lNM,part_138,2026-09-22 06:00:22
Deshmukh Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 2425 225 627,N/A,4.4,,"Nashik road, above Indusind bank, Shivajinagar, Pune, Sangamner, Maharashtra 422605",Shivajinagar,19.5763554,74.2072015,ChIJoVv28rYB3TsRKGeXEF2z4HA,https://www.google.com/maps/place/?q=place_id:ChIJoVv28rYB3TsRKGeXEF2z4HA,part_138,2026-09-22 06:00:22
Ujwal hospital,Multispeciality Hospital,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,5.0,,"972X+J3G, Sakur, Maharashtra 422622",422622,19.351567,74.297698,ChIJoz-gW1jh3DsRxvKMmdLMPzI,https://www.google.com/maps/place/?q=place_id:ChIJoz-gW1jh3DsRxvKMmdLMPzI,part_138,2026-09-22 06:00:22
Sonambekar Multispeciality Hospital,Multispeciality Hospital,Hospital,"Hospital, Private hospital",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 2425 225 525,https://www.sonambekarhospital.com/,3.8,,"by-pass Road, near Vitthal Mandir Akole, Chaitanya Nagar, Sangamner, Maharashtra 422605",Chaitanya Nagar,19.576318999999998,74.20102849999999,ChIJsecR8doB3TsRErq-reXFh-8,https://www.google.com/maps/place/?q=place_id:ChIJsecR8doB3TsRErq-reXFh-8,part_138,2026-09-22 06:00:22
Dr. Thorat Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 93225 05927,N/A,4.5,,"Old Pune Nashik Highway, Gaon, Bota, Maharashtra 422602",422622,19.2557722,74.14472549999999,ChIJVXmXsAAf3TsRl1vI0JZTHXw,https://www.google.com/maps/place/?q=place_id:ChIJVXmXsAAf3TsRl1vI0JZTHXw,part_138,2026-09-22 06:00:22
SHASHWAT MULTISPECIALITY HOSPITAL,Multispeciality Hospital,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98679 87698,https://shashwatmultispecialityhospital.in/,4.5,,"Nagar, Ahilyanagar- Manmad Rd, beside naik hospital, kaman, Savedi, Ahilyanagar, Maharashtra 414003","kaman, Savedi",19.123337499999998,74.72691689999999,ChIJBWD1sGyx3DsR90DxgH5XfsA,https://www.google.com/maps/place/?q=place_id:ChIJBWD1sGyx3DsR90DxgH5XfsA,part_138,2026-09-22 06:00:22
Dr. Matkar Saikrupa Hospital,Multispeciality Hospital,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,4.9,,"Saikrupa Hospital, plot no. 40, Pophale Mala, Opposite Vithhal temple Akole Bypass Road, Dist, Chaitanya Nagar, Sangamner, Maharashtra 422605",Chaitanya Nagar,19.575466499999997,74.2028759,ChIJ3U--Pp4B3TsRHygwv5TmYgo,https://www.google.com/maps/place/?q=place_id:ChIJ3U--Pp4B3TsRHygwv5TmYgo,part_138,2026-09-22 06:00:22
Medicover Hospitals,Multispeciality Hospital,Hospital,"Hospital, Private hospital",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 40 6833 4455,https://www.medicoverhospitals.in/hospitals/maharashtra/sangamner/?utm_source=google&utm_medium=organic&utm_campaign=gmb-sangamner,4.9,,"Medicover Hospitals, A/P, Gunjalwadi Rd, Tal, Gunjalwadi, Maharashtra 422605",Tal,19.573213499999998,74.2008522,ChIJbekQdbgB3TsRvj5Gr4hRFSc,https://www.google.com/maps/place/?q=place_id:ChIJbekQdbgB3TsRvj5Gr4hRFSc,part_138,2026-09-22 06:00:22
Shree Sainath Hospital,Multispeciality Hospital,Hospital,"Hospital, Diabetes center, Diabetologist",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98227 90890,N/A,4.5,,"Off Janata Raja Maidan Road, Vidyanagar, behind New State Bank Of India, Sangamner, Maharashtra 422605",Vidhyanagar,19.574677299999998,74.209825,ChIJras8ww8B3TsR7x_CphqEXHo,https://www.google.com/maps/place/?q=place_id:ChIJras8ww8B3TsR7x_CphqEXHo,part_138,2026-09-22 06:00:22
Mandana Multi Speciality Hospital & Datta Medical,Multispeciality Hospital,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70715 05024,N/A,4.7,,"Laxmi Nagar, Sangamner, Gunjalwadi, Maharashtra 422605",Laxmi Nagar,19.578647999999998,74.1966812,ChIJt13V_3sB3TsRSawSGtXisAw,https://www.google.com/maps/place/?q=place_id:ChIJt13V_3sB3TsRSawSGtXisAw,part_138,2026-09-22 06:00:22
