business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
The Farmers' Store Bandra West - Organic Food Store,Organic Food Store,Organic food store,Organic food store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 77150 33332,https://www.thefarmersstore.in/,4.5,174.0,"Shop 4, Videocon Building, Dr Ambedkar Rd, opposite Bank Of Baroda, Pali Village, Bandra West, Mumbai, Maharashtra 400050","Pali Village, Bandra West",19.0655064,72.8297558,ChIJnVf7HBPJ5zsRmGLrHbqjGGo,https://www.google.com/maps/place/?q=place_id:ChIJnVf7HBPJ5zsRmGLrHbqjGGo,part_138,2026-09-22 06:00:14,268
Satjeevan Organic Store,Organic Food Store,Organic food store,"Organic food store, Organic shop",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 91679 22012,http://satjeevanorganic.com/,4.9,574.0,"Shop No.5 646/45E J.S. Marg, Jambul Wadi, Kalbadevi, Mumbai, Maharashtra 400002","Marine Lines East, Tak Wadi, Lohar Chawl, Kalbadevi",18.9445425,72.82860889999999,ChIJzd8kzIDR5zsRrSIfrvhCOfQ,https://www.google.com/maps/place/?q=place_id:ChIJzd8kzIDR5zsRrSIfrvhCOfQ,part_138,2026-09-22 06:00:14,269
Orgakawach Organic - Organic Food Store in Pune,Organic Food Store,Organic food store,Organic food store,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 99220 30762,http://www.orgakawach.com/,4.9,78.0,"Shivprasad Complex, Shop No- 5, B Wing, Sun City Rd, Anand Nagar, Pune, Maharashtra 411051","Nimbaj Nagar, Anand Nagar",18.4779905,73.8202309,ChIJIy4gul-VwjsRCrNGEqDFOyU,https://www.google.com/maps/place/?q=place_id:ChIJIy4gul-VwjsRCrNGEqDFOyU,part_138,2026-09-22 06:00:14,270
The Organic World - Sahakar Nagar,Organic Food Store,Organic food store,"Organic food store, Indian grocery store, Organic shop, Produce market",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90360 15822,https://theorganicworld.com/,4.8,71.0,"475, 19th Main, 14th Cross Rd, F Block, Sahakar Nagar, Bengaluru, Karnataka 560092","F Block, Sahakar Nagar",13.063826599999999,77.58748419999999,ChIJbaVFIHcZrjsRX5BhIlK8Qh4,https://www.google.com/maps/place/?q=place_id:ChIJbaVFIHcZrjsRX5BhIlK8Qh4,part_138,2026-09-22 06:00:14,271
"Organic India Store - Vile Parle, Mumbai",Organic Food Store,Organic food store,"Organic food store, Organic shop, Wellness center",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 80 3776 2774,https://store.organicindia.com/organic-india/mumbai/vile-parle-east/organic-india-store-in-vile-parle-east-mumbai--dafd451f-d8da-48f2-a08c-dc14b0b448ac/home,4.9,300.0,"Shop No 139/140 B, Shiv Building, Crossing Sahar Road, &, Western Express Hwy, inside Fabindia Experience Center, Vile Parle East, Mumbai, Maharashtra 400057","Navpada, Vile Parle East, Vile Parle",19.108735499999998,72.8530737,ChIJqfLXqiHH5zsR6v_zKmr3jno,https://www.google.com/maps/place/?q=place_id:ChIJqfLXqiHH5zsR6v_zKmr3jno,part_138,2026-09-22 06:00:14,272
Jivansatva Organic Farms,Organic Food Store,Organic shop,"Organic shop, Manufacturer, Natural goods store, Organic farm, Wholesaler",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70452 71357,http://www.jivansatvaorganic.com/,5.0,674.0,"Shop No. 25, 4th floor, B2, Gami Industrial Park, MIDC Industrial Area, Pawne, Navi Mumbai, Maharashtra 400705","MIDC Industrial Area, Pawne",19.092019999999998,73.02770629999999,ChIJbXRzljbB5zsRtJ-kF-H1Cg8,https://www.google.com/maps/place/?q=place_id:ChIJbXRzljbB5zsRtJ-kF-H1Cg8,part_138,2026-09-22 06:00:14,273
Taru Naturals Pvt Ltd,Organic Food Store,Organic food store,"Organic food store, Food manufacturer, Food producer, Grocery delivery service, Organic shop",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 93723 42220,https://www.tarunaturals.com/,4.3,37.0,"E-211, Tower - II, Seawoods Grand Central, plot no. r, 1, Sector 40, Seawoods, Navi Mumbai, Maharashtra 400706","Nerul East, Sector 40, Seawoods",19.0221123,73.0179964,ChIJ20vBNQ7G5zsRQyCjgs8vcBc,https://www.google.com/maps/place/?q=place_id:ChIJ20vBNQ7G5zsRQyCjgs8vcBc,part_138,2026-09-22 06:00:14,274
"Organic India Store - Colaba, Mumbai",Organic Food Store,Organic food store,"Organic food store, Organic shop, Wellness center",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 80 3776 2757,https://store.organicindia.com/organic-india/mumbai/colaba/organic-india-store-in-colaba-mumbai--75b116d8-2924-465a-a79e-c01f0035ffb3/home,4.9,247.0,"Shop No 137, 137, Mahatma Gandhi Road, near Fab Cafe, Kala Ghoda, Fort, Mumbai, Maharashtra 400001","Kala Ghoda, Fort",18.9286727,72.8315743,ChIJR-czJyrR5zsR84HsDWxqUDk,https://www.google.com/maps/place/?q=place_id:ChIJR-czJyrR5zsR84HsDWxqUDk,part_138,2026-09-22 06:00:14,275
"Organic India Store - Lower Parel, Mumbai",Organic Food Store,Organic food store,"Organic food store, Organic shop, Wellness center",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 80 3776 2785,https://store.organicindia.com/organic-india/mumbai/lower-parel/organic-india-store-in-lower-parel-mumbai--2f335327-46c3-4faa-b874-5481c08b3779/home,5.0,199.0,"Ground Floor, Trade View Building Utopia City, Pandurang Budhkar Marg, below IKEA Worli City Store, Lower Parel, Mumbai, Maharashtra 400013",Lower Parel,19.0056932,72.82693379999999,ChIJO8GW9w3P5zsRJxfu1yKWYUM,https://www.google.com/maps/place/?q=place_id:ChIJO8GW9w3P5zsRJxfu1yKWYUM,part_138,2026-09-22 06:00:14,276
"Organic India Store - Law College Road, Erandwane",Organic Food Store,Organic food store,"Organic food store, Organic shop, Wellness center",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 80 3776 2798,https://store.organicindia.com/organic-india/pune/erandwane/organic-india-store-in-erandwane-pune--6703f31b-9da7-48c0-96ff-b9eb6a4b33d8/home,5.0,264.0,"Pinnacle 664 Park Avenue, Law College Rd, opposite ILS Law College, Erandwane, Pune, Maharashtra 411004",Erandwane,18.5171243,73.82988499999999,ChIJiS-Pef-_wjsRVzdPmK2fcqs,https://www.google.com/maps/place/?q=place_id:ChIJiS-Pef-_wjsRVzdPmK2fcqs,part_138,2026-09-22 06:00:14,277
