business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Akshada beauty,hair & Makeup studio",Salon,Beauty Parlour,Beauty Parlour,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 89758 95030,N/A,5.0,,"1, Mandawa, Sakur, Maharashtra 422622",Mandawa,19.3519953,74.2989016,ChIJo1xlfADh3DsRBfu9wsktJow,https://www.google.com/maps/place/?q=place_id:ChIJo1xlfADh3DsRBfu9wsktJow,part_138,2026-09-22 06:00:34,4594
ABHIRAJ MENS PARLOURS,Salon,Beauty Parlour,"Beauty Parlour, Hair salon",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 86007 01743,N/A,3.9,,"Shop no 1, Sakur, Maharashtra 422622",422622,19.3499381,74.298909,ChIJv5jbxVnh3DsRVEtBuPw1TRM,https://www.google.com/maps/place/?q=place_id:ChIJv5jbxVnh3DsRVEtBuPw1TRM,part_138,2026-09-22 06:00:34,4595
JM UNIX SALON AND BEAUTY PARLOUR,Salon,Hair salon,Hair salon,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 75889 47899,N/A,4.5,,"Shop1 Near Bhagwan Kirana Mall Sakur Chufuli Sakur, Tal, Sangamner, Maharashtra 422622",422622,19.352523599999998,74.2988161,ChIJo0aGIH7h3DsRtIesixzv2qc,https://www.google.com/maps/place/?q=place_id:ChIJo0aGIH7h3DsRtIesixzv2qc,part_138,2026-09-22 06:00:34,4596
OM SAI HAIR CUTTING SALON,Salon,Hair salon,Hair salon,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70308 93072,N/A,,,"Shop No 1, Sakur, Maharashtra 422622",422622,19.349858599999997,74.29859499999999,ChIJU2KVD5zh3DsROWmaA-MRFGo,https://www.google.com/maps/place/?q=place_id:ChIJU2KVD5zh3DsROWmaA-MRFGo,part_138,2026-09-22 06:00:34,4597
THE 7 SALOON MALL,Salon,Hairdresser,"Hairdresser, Beautician, Beauty product supplier, Make-up artist",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 86869 40707,N/A,4.8,,"Shop No 17 18 19 Loni Central, Loni - Sangamner Rd, Loni Bk., Maharashtra 413736",422622,19.5775608,74.4606769,ChIJWQPALxT33DsR0e070O7FJ-E,https://www.google.com/maps/place/?q=place_id:ChIJWQPALxT33DsR0e070O7FJ-E,part_138,2026-09-22 06:00:34,4598
Shree Sagar Mens Parlour,Salon,Hair salon,Hair salon,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 77962 13263,N/A,,,"Shop No 3, Chowfulli Road, near Bus Stand, Sakur, Maharashtra 422622",422622,19.349909099999998,74.2985576,ChIJC8T9Wzbh3DsRJ-ThF8MtemE,https://www.google.com/maps/place/?q=place_id:ChIJC8T9Wzbh3DsRJ-ThF8MtemE,part_138,2026-09-22 06:00:34,4599
Kalyani beauty parlour,Salon,Beauty Parlour,Beauty Parlour,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,,,"87XX+M5P, Sakur, Maharashtra 422622",422622,19.3492533,74.2980577,ChIJ5_XQMgDh3DsRFKqB3TepLxw,https://www.google.com/maps/place/?q=place_id:ChIJ5_XQMgDh3DsRFKqB3TepLxw,part_138,2026-09-22 06:00:34,4600
New Looks Unisex salon,Salon,Hairdresser,"Hairdresser, Beautician",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 87882 38385,N/A,4.9,,"Sanjay super market, Gulmohar Rd, opposite of merchant bank, Anandnagar Co Op Housing Society, Anand Nagar, Ahilyanagar, Maharashtra 414003","Anandnagar Co Op Housing Society, Anand Nagar",19.1213034,74.739249,ChIJ08e9UwC73DsRwEgW0NzJNk4,https://www.google.com/maps/place/?q=place_id:ChIJ08e9UwC73DsRwEgW0NzJNk4,part_138,2026-09-22 06:00:34,4601
आण्णा The perfect hair salon,Salon,Beauty Parlour,Beauty Parlour,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,,,"C6MF+98J, Pimpalgaon Depa, Maharashtra 422622",422622,19.4334728,74.2232556,ChIJ9zAPCwDj3DsR6sJTDqPE6wg,https://www.google.com/maps/place/?q=place_id:ChIJ9zAPCwDj3DsR6sJTDqPE6wg,part_138,2026-09-22 06:00:34,4602
Shrungar Beauty Parlour(Mandhare),Salon,Beauty Parlour,Beauty Parlour,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 90212 94107,N/A,5.0,,"G988+QV5, Ashwi Khurd, Maharashtra 413738",422622,19.516879799999998,74.36722859999999,ChIJj3F5FQD73DsRnOMuerlLUt0,https://www.google.com/maps/place/?q=place_id:ChIJj3F5FQD73DsRnOMuerlLUt0,part_138,2026-09-22 06:00:34,4603
BB Mens Hairs Studio,Salon,Hair salon,Hair salon,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 77678 54485,N/A,5.0,,"Maha laxami collection shejari ghala no 4, Kothe Road, Ghargaon, Maharashtra 422620",422622,19.3163108,74.1731698,ChIJo5L-gNgf3TsRL1HndK3AuRA,https://www.google.com/maps/place/?q=place_id:ChIJo5L-gNgf3TsRL1HndK3AuRA,part_138,2026-09-22 06:00:34,4604
