business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Balasaheb Deshpande Hospital,Healthcare Clinic Chains,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,2.5,12.0,"5268, Juna Mangalwar Bazar, Nalegaon, Ahilyanagar, Maharashtra 414001",Nalegaon,19.092441,74.7367189,ChIJjaUP92Cw3DsRnJIxTw2viz8,https://www.google.com/maps/place/?q=place_id:ChIJjaUP92Cw3DsRnJIxTw2viz8,part_138,2026-09-22 06:00:27,3194
Nagare Accident Hospital Sangamner,Healthcare Clinic Chains,Hospital,"Hospital, Orthopedic clinic",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 2425 221 191,N/A,3.2,24.0,"Sai Samarth Heights, Navin Nagar Rd, Tajane Mala, Bagvan Pura, Sangamner, Maharashtra 422605","Tajane Mala, Bagvan Pura",19.5716426,74.2109081,ChIJhUVb4dMB3TsRMVcqMIuJono,https://www.google.com/maps/place/?q=place_id:ChIJhUVb4dMB3TsRMVcqMIuJono,part_138,2026-09-22 06:00:27,3195
कराळे हॉस्पिटल,Healthcare Clinic Chains,Psychiatric hospital,Psychiatric hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,5.0,1.0,"bus stand, pawar wasti road, near Tarakpur Road, Sindhi Colony, Ahilyanagar, Maharashtra 414003",Sindhi Colony,19.107973299999998,74.7418879,ChIJYbWgM76x3DsRykAqs1RM88U,https://www.google.com/maps/place/?q=place_id:ChIJYbWgM76x3DsRykAqs1RM88U,part_138,2026-09-22 06:00:27,3196
Ithape Hospital,Healthcare Clinic Chains,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 2425 224 865,http://www.smfri.org/,3.5,40.0,"H6F7+42H, Navin Nagar Rd, Vidhyanagar, Sangamner, Maharashtra 422605",Vidhyanagar,19.5728029,74.2126076,ChIJmas2DtQB3TsRpjDnAENPH48,https://www.google.com/maps/place/?q=place_id:ChIJmas2DtQB3TsRpjDnAENPH48,part_138,2026-09-22 06:00:27,3197
Dr. Shelke Hospital,Healthcare Clinic Chains,Hospital,"Hospital, Orthopedic surgeon",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,3.9,12.0,"Indiranagar, Sangamner, Maharashtra 422605",Indiranagar,19.5748358,74.20552789999999,ChIJF99WpNIB3TsRiE-JEtYALro,https://www.google.com/maps/place/?q=place_id:ChIJF99WpNIB3TsRiE-JEtYALro,part_138,2026-09-22 06:00:27,3198
Sagar clinic (Dr.Dinkar Bhoir) BAMS,Healthcare Clinic Chains,Ayurvedic clinic,Ayurvedic clinic,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 98907 78487,N/A,,,"pavasa toll plaza, A/P, near Hivargaon, Zole, Sangamner, Maharashtra 422605",422622,19.508392399999998,74.1958887,ChIJcU-3CgED3TsRa09tsx0UCqk,https://www.google.com/maps/place/?q=place_id:ChIJcU-3CgED3TsRa09tsx0UCqk,part_138,2026-09-22 06:00:27,3199
Aai Maternity Hospital,Healthcare Clinic Chains,Maternity Centre,"Maternity Centre, Hospital",422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 70208 91091,N/A,4.7,58.0,"H6F5+CJ4, Jantaraja Marg, Vidhyanagar, Sangamner, Maharashtra 422605",Vidhyanagar,19.5735097,74.2090656,ChIJJ1b7mHoB3TsRrqjTNjXS2hg,https://www.google.com/maps/place/?q=place_id:ChIJJ1b7mHoB3TsRrqjTNjXS2hg,part_138,2026-09-22 06:00:27,3200
SAHAYOG CLINIC +,Healthcare Clinic Chains,Hospital,Hospital,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 94044 09496,N/A,5.0,,"Near Sanali collection Metgutad, Mahabaleshwar, Maharashtra 412806",422622,17.9228341,73.6999773,ChIJW54ZtFZlwjsRGDPd6rXwGsg,https://www.google.com/maps/place/?q=place_id:ChIJW54ZtFZlwjsRGDPd6rXwGsg,part_138,2026-09-22 06:00:28,3201
ProMed Healthcare clinic,Healthcare Clinic Chains,Medical clinic,Medical clinic,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",N/A,N/A,4.8,,"Gavali mohalla, Mahabaleshwar, Maharashtra 412806",422622,17.9225679,73.6582324,ChIJ95hSwiRlwjsRJsOnpq3WR9w,https://www.google.com/maps/place/?q=place_id:ChIJ95hSwiRlwjsRJsOnpq3WR9w,part_138,2026-09-22 06:00:28,3202
Dr Prashant Date Sanjeevan Hospital,Healthcare Clinic Chains,Surgeon,Surgeon,422622,Maharashtra Circle,Pune Region,Shrirampur Division,"Sakur S.O, Hivargaon Pathar B.O, Jambut B.O",+91 80557 03467,https://book-appointment.healthplix.com/index.php?branch_code=dr-prashant-date-proctologist-garpeerchowk-sangli,4.9,,"12133/8,Vakil Colony, Civil Hospital to 100 Feet Road,, Sangli, Maharashtra 416416","Sangli, Nishant Colony",16.8475835,74.5739488,ChIJwQBk6mYYwTsRVZudq3ODbJc,https://www.google.com/maps/place/?q=place_id:ChIJwQBk6mYYwTsRVZudq3ODbJc,part_138,2026-09-22 06:00:28,3203
