business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Motilal Oswal Financial Services Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Investment company, Online Share Trading Center",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 97311 78552,https://stockbroker.motilaloswal.com/motilal-oswal-financial-services-limited-jaya-kumari-bissa-stock-broker-malad-west-mumbai-135121/Home?utm_source=locator&utm_medium=googleplaces,2.8,86.0,"No K/502, Palm Court Complex, New Link Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064","Malad, Mindspace, Malad West",19.1856059,72.8335051,ChIJFZSGye625zsRqhchc4k5_kE,https://www.google.com/maps/place/?q=place_id:ChIJFZSGye625zsRqhchc4k5_kE,part_137,2026-09-22 06:00:39
JHP Securities Pvt. Ltd,Stock Broker and Share Sub-broker,Stock broker,Stock broker,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 22 6969 9999,https://jhpsecurities.com/,3.5,6.0,"Dev Neo Vikram, Sahakar Nagar CHS, 201/B, New Link Rd, above Audi Car Showroom, Sahakar Nagar, Azad Nagar, Andheri West, Mumbai, Maharashtra 400053","Sahakar Nagar, Azad Nagar, Andheri West",19.1295598,72.83155239999999,ChIJb8DLHCG25zsRb_8NZ-wshOE,https://www.google.com/maps/place/?q=place_id:ChIJb8DLHCG25zsRb_8NZ-wshOE,part_137,2026-09-22 06:00:39
Ventura Securities Ltd - Corporate Office,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Finance broker, Investment service",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 22 6754 7000,https://www.venturasecurities.com/,4.0,111.0,"I-Think Techno Campus, “B” Wing, 8th Floor Pokhran Road No. 2, Off, Eastern Express Hwy, Thane West, Thane, Maharashtra 400601","Chirak Nagar, Thane West",19.2112904,72.97193349999999,ChIJvxWWTkC55zsRWtj7SjiySeQ,https://www.google.com/maps/place/?q=place_id:ChIJvxWWTkC55zsRWtj7SjiySeQ,part_137,2026-09-22 06:00:39
Comfort Securities Ltd,Stock Broker and Share Sub-broker,Corporate office,Corporate office,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 22 6894 8500,https://comfortsecurities.co.in/,4.8,140.0,"A Wing, Hetal Arch, A-301, Swami Vivekanand Rd, opp. Natraj Market, Malad, Navy Colony, Mamledarwadi, Malad West, Mumbai, Maharashtra 400064","Malad, Navy Colony, Mamledarwadi, Malad West",19.1881228,72.84632599999999,ChIJO7ue_7nJ5zsRyjDBciwCdp4,https://www.google.com/maps/place/?q=place_id:ChIJO7ue_7nJ5zsRyjDBciwCdp4,part_137,2026-09-22 06:00:39
Profitmart Mumbai,Stock Broker and Share Sub-broker,Stock broker,Stock broker,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 98344 22163,https://www.profitmart.in/,1.0,1.0,"UNIT NO 213, OPAL SQUARE, PLOT NO C-1, Kisan Nagar 3, Shivaji Nagar, Thane West, Mumbai, Thane, Maharashtra 400604","Kisan Nagar 3, Shivaji Nagar, Thane West",19.1855707,72.9554706,ChIJw7gqNwW55zsRzJEbX9wxSJM,https://www.google.com/maps/place/?q=place_id:ChIJw7gqNwW55zsRzJEbX9wxSJM,part_137,2026-09-22 06:00:39
Kotak Neo,Stock Broker and Share Sub-broker,Stock broker,Stock broker,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 22 6712 6905,https://www.kotakneo.com/?utm_source=GMB&utm_medium=organic,3.4,32.0,"320, Plot No 72, Shiv Centre, opposite Lawrence School, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703","Sector 17, Vashi",19.0707006,72.9855853,ChIJF08dOC_B5zsRguyz6ORlt20,https://www.google.com/maps/place/?q=place_id:ChIJF08dOC_B5zsRguyz6ORlt20,part_137,2026-09-22 06:00:39
Baadshah Broking Limited,Stock Broker and Share Sub-broker,Investment service,"Investment service, Service establishment",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 79 6815 8380,https://baadshahbroking.com/,4.5,,"Baadshah Broking Limited, 422012, India",422012,21.0680074,82.7525294,ChIJ____r8EEDTkRh-F0fTlxICk,https://www.google.com/maps/place/?q=place_id:ChIJ____r8EEDTkRh-F0fTlxICk,part_137,2026-09-22 06:00:39
Paisowala- Find Best Stock Broker In India,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Service establishment",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 97605 63784,https://www.paisowala.com/,5.0,,"Paisowala- Find Best Stock Broker In India, 422012, India",422012,20.667065299999997,82.7864352,ChIJ0X90ju1PpzkRxhjp0qEjBRk,https://www.google.com/maps/place/?q=place_id:ChIJ0X90ju1PpzkRxhjp0qEjBRk,part_137,2026-09-22 06:00:39
ABK Securities Private Limited,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Investment service, Online Share Trading Center",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 79 4919 1555,https://abksecurities.com/,4.8,,"5th Floor 532, solaris business hub, Sola Rd, near Bhuyangdev Cross Road, Char Rasta, Bhuyangdev Society, Naranpura, Ahmedabad, Gujarat 380063","Char Rasta, Bhuyangdev Society, Naranpura",23.0577915,72.538287,ChIJMwnKrS6FXjkR2ihtmTU7yYg,https://www.google.com/maps/place/?q=place_id:ChIJMwnKrS6FXjkR2ihtmTU7yYg,part_137,2026-09-22 06:00:39
Nikunj Stock Brokers Ltd,Stock Broker and Share Sub-broker,Stock broker,"Stock broker, Investment service, Online Share Trading Center",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 98113 22534,http://www.nikunjonline.com/,4.6,,"A-92, Ground Floor, Kamla Nagar, New Delhi, Delhi 110007","Block B, Kamla Nagar",28.6806815,77.2011718,ChIJQTywTyYCDTkRHXyfCvPiEG4,https://www.google.com/maps/place/?q=place_id:ChIJQTywTyYCDTkRHXyfCvPiEG4,part_137,2026-09-22 06:00:39
