business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Avishkar Foods & Rajhans Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 98503 41451,N/A,5.0,19.0,"Nakshatra Apartments, Engineer Prakash Chaudhary Marg, Anandvalli, Nashik, Maharashtra 422013","Balawant Nagar, Anandvalli",20.009522399999998,73.7438466,ChIJ7cVSlyjt3TsRRuHGfj6bSxU,https://www.google.com/maps/place/?q=place_id:ChIJ7cVSlyjt3TsRRuHGfj6bSxU,part_137,2026-09-22 06:00:11
Amul Ice Cream Parlour,Dairy and Milk Parlour,Ice cream shop,"Ice cream shop, Store",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 1800 258 3333,N/A,3.6,14.0,"No 26, Gangapur Rd, Navshya Ganapati Parisar, Ganpati Nagar, Satpur Colony, Nashik, Maharashtra 422013","Navshya Ganapati Parisar, Ganpati Nagar, Satpur Colony",20.014056399999998,73.74002759999999,ChIJz2cgUXHs3TsRftRORuaXEaY,https://www.google.com/maps/place/?q=place_id:ChIJz2cgUXHs3TsRftRORuaXEaY,part_137,2026-09-22 06:00:11
Amul Ice Cream Parlour,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 1800 258 3333,https://amul.com/,4.8,8.0,"Amul Ice Cream Parlour, near maule hall, Ashoknagar, Satpur Colony, Nashik, Maharashtra 422007","Ashoknagar, Satpur Colony",19.988399599999997,73.7202222,ChIJ_xAOOGbt3TsRUk_SyD9BduM,https://www.google.com/maps/place/?q=place_id:ChIJ_xAOOGbt3TsRUk_SyD9BduM,part_137,2026-09-22 06:00:11
Kalika Milk Product & Dry Fruits,Dairy and Milk Parlour,Dairy store,"Dairy store, Dry Fruit Store",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 92737 37314,https://www.facebook.com/kalikagheedepo/,4.6,32.0,"MG Road, Shahaji Road, Ahilyanagar, Maharashtra 414001",Shahaji Road,19.096295599999998,74.73861219999999,ChIJ3arIX2Gw3DsRlCEMnU1Pok0,https://www.google.com/maps/place/?q=place_id:ChIJ3arIX2Gw3DsRlCEMnU1Pok0,part_137,2026-09-22 06:00:11
Mother Dairy Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 1800 180 1018,https://www.motherdairy.com/,4.2,111.0,"H8W5+84F, Subhash Park, Block C 1, New Ashok Nagar, New Delhi, Delhi, 110096","Subhash Park, Block C 1, New Ashok Nagar",28.5958193,77.307795,ChIJtVxHFI3kDDkR4KowmIUHCZA,https://www.google.com/maps/place/?q=place_id:ChIJtVxHFI3kDDkR4KowmIUHCZA,part_137,2026-09-22 06:00:11
Bharkadevi Ice Cream Parlour,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,N/A,3.8,143.0,"XPR6+HXG, Near Ashoknagar Last Bus Stop, Ashoknagar, Satpur Colony, Nashik, Maharashtra 422012","Near Ashoknagar Last Bus Stop, Ashoknagar, Satpur Colony",19.991448899999998,73.7124486,ChIJj986Kvjs3TsRVgwwOHJuLWg,https://www.google.com/maps/place/?q=place_id:ChIJj986Kvjs3TsRVgwwOHJuLWg,part_137,2026-09-22 06:00:11
"SAYALI MILK DAIRY & RUDRA PHOTO STUDIO & PRIYA SADI CENTER, LADIES GARMENTS.",Dairy and Milk Parlour,Beauty Parlour,Beauty Parlour,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,N/A,3.8,4.0,"Dhruv Nagar, Shivaji Nagar, Satpur Colony, Nashik, Maharashtra 422012","Dhruv Nagar, Shivaji Nagar, Satpur Colony",20.01361,73.7129095,ChIJ30heWFHs3TsR4_bJlfCrHFQ,https://www.google.com/maps/place/?q=place_id:ChIJ30heWFHs3TsR4_bJlfCrHFQ,part_137,2026-09-22 06:00:11
Godavri milk parlour,Dairy and Milk Parlour,Dairy store,Dairy store,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),N/A,N/A,,,"Sadguru Nagar, Satpur Colony, Nashik, Maharashtra 422007","Sadguru Nagar, Satpur Colony",20.0069312,73.7324216,ChIJ9VT2_B7t3TsRZd7ZWbqkxpg,https://www.google.com/maps/place/?q=place_id:ChIJ9VT2_B7t3TsRZd7ZWbqkxpg,part_137,2026-09-22 06:00:11
Adarsh Doodh Dairy,Dairy and Milk Parlour,Dairy store,"Dairy store, Milk delivery service",422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 91585 86167,N/A,4.1,,"V8CW+V6V, Shop5 Trimuryi Chowk, Jawahar Colony, Nyay Nagar, Chhatrapati Sambhajinagar, Maharashtra 431005","Chetan Super Market, Trimurti Chowk, Jawahar Colony, Nyay Nagar",19.869970199999997,75.34636429999999,ChIJz_CN00mj2zsRboIVkap78To,https://www.google.com/maps/place/?q=place_id:ChIJz_CN00mj2zsRboIVkap78To,part_137,2026-09-22 06:00:12
Dairy Don Ahmednagar,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,422012,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Ashok Nagar S.O (Nashik),+91 77199 97779,http://www.dairydon.net/,4.7,,"Swastik Chowk, New, Anand Dham Rd, behind Pune Bus Stand, Chupati, Maniknagar, Ahilyanagar, Maharashtra 414001","Chupati, Maniknagar",19.083332499999997,74.73385669999999,ChIJzQLQ42yx3DsRc-wRhzSIl0Q,https://www.google.com/maps/place/?q=place_id:ChIJzQLQ42yx3DsRc-wRhzSIl0Q,part_137,2026-09-22 06:00:12
